wavelength_nm,irradiance_W_m2_nm
280,1.616e-26
280.5,6.958e-25
281,3.901e-24
281.5,1.751e-22
282,1.805e-21
282.5,8.451e-21
283,4.308e-20
283.5,9.308e-20
284,3.177e-18
284.5,1.378e-17
285,5.735e-17
285.5,4.106e-16
286,1.498e-15
286.5,1.177e-14
287,4.626e-14
287.5,2.336e-13
288,1.79e-12
288.5,5.784e-12
289,2.232e-11
289.5,9.809e-11
290,3.285e-10
290.5,8.494e-10
291,2.489e-09
291.5,9.216e-09
292,2.607e-08
292.5,4.501e-08
293,1.008e-07
293.5,3.012e-07
294,6.048e-07
294.5,1.021e-06
295,2.064e-06
295.5,5.135e-06
296,9.436e-06
296.5,1.493e-05
297,2.126e-05
297.5,4.352e-05
298,7.132e-05
298.5,9.149e-05
299,0.0001303
299.5,0.0002399
300,0.0002927
300.5,0.0003671
301,0.0005902
301.5,0.0008481
302,0.0009364
302.5,0.001409
303,0.002402
303.5,0.003093
304,0.003283
304.5,0.004167
305,0.00576
305.5,0.00657
306,0.00655
306.5,0.007469
307,0.009849
307.5,0.01258
308,0.01342
308.5,0.01472
309,0.01443
309.5,0.01533
310,0.01803
310.5,0.02326
311,0.02944
311.5,0.02995
312,0.03305
312.5,0.03493
313,0.0379
313.5,0.03836
314,0.04246
314.5,0.04587
315,0.04798
315.5,0.04224
316,0.04373
316.5,0.0529
317,0.06069
317.5,0.06509
318,0.06258
318.5,0.06537
319,0.07172
319.5,0.06993
320,0.07379
320.5,0.0871
321,0.08786
321.5,0.08399
322,0.07998
322.5,0.07851
323,0.07627
323.5,0.08793
324,0.09756
324.5,0.1016
325,0.1019
325.5,0.118
326,0.1373
326.5,0.1459
327,0.1438
327.5,0.1403
328,0.1304
328.5,0.1364
329,0.1537
329.5,0.1708
330,0.173
330.5,0.1593
331,0.151
331.5,0.1563
332,0.1622
332.5,0.1632
333,0.1607
333.5,0.1542
334,0.1579
334.5,0.1687
335,0.1757
335.5,0.1719
336,0.1581
336.5,0.1468
337,0.1447
337.5,0.1559
338,0.1685
338.5,0.1768
339,0.1805
