wavelength_nm,irradiance_W_m2_nm
280,4.311e-28
280.5,2.563e-26
281,1.507e-25
281.5,9.314e-24
282,1.11e-22
282.5,5.727e-22
283,3.267e-21
283.5,7.467e-21
284,3.618e-19
284.5,1.754e-18
285,8.451e-18
285.5,7.24e-17
286,2.786e-16
286.5,2.552e-15
287,1.112e-14
287.5,6.498e-14
288,5.98e-13
288.5,2.094e-12
289,8.908e-12
289.5,4.318e-11
290,1.577e-10
290.5,4.352e-10
291,1.387e-09
291.5,5.784e-09
292,1.796e-08
292.5,3.233e-08
293,7.724e-08
293.5,2.531e-07
294,5.355e-07
294.5,9.41e-07
295,2.012e-06
295.5,5.388e-06
296,1.032e-05
296.5,1.699e-05
297,2.498e-05
297.5,5.368e-05
298,9.13e-05
298.5,0.00012
299,0.000175
299.5,0.0003384
300,0.0004112
300.5,0.0005269
301,0.0008747
301.5,0.001286
302,0.001432
302.5,0.0022
303,0.003852
303.5,0.005017
304,0.005343
304.5,0.006901
305,0.009758
305.5,0.01125
306,0.01123
306.5,0.01289
307,0.01729
307.5,0.02239
308,0.02381
308.5,0.02626
309,0.02583
309.5,0.02786
310,0.03293
310.5,0.04247
311,0.05396
311.5,0.05485
312,0.06117
312.5,0.06498
313,0.07056
313.5,0.07085
314,0.07904
314.5,0.0862
315,0.09
315.5,0.0785
316,0.0819
316.5,0.09959
317,0.1139
317.5,0.1215
318,0.1172
318.5,0.1233
319,0.1355
319.5,0.1308
320,0.1375
320.5,0.1635
321,0.1658
321.5,0.1581
322,0.149
322.5,0.1461
323,0.1425
323.5,0.1652
324,0.183
324.5,0.1897
325,0.1888
325.5,0.219
326,0.2558
326.5,0.272
327,0.2672
327.5,0.2597
328,0.2397
328.5,0.252
329,0.2845
329.5,0.3156
330,0.3189
330.5,0.2923
331,0.2762
331.5,0.2863
332,0.2973
332.5,0.2989
333,0.2936
333.5,0.2806
334,0.287
334.5,0.3067
335,0.3192
335.5,0.3119
336,0.2865
336.5,0.2653
337,0.2608
337.5,0.2804
338,0.3031
338.5,0.3176
339,0.3239
339.5,0.3325
340,0.3534
340.5,0.3533
341,0.3324
341.5,0.3312
342,0.346
342.5,0.3596
343,0.3658
343.5,0.3463
344,0.2995
344.5,0.2886
345,0.3287
345.5,0.3508
346,0.3431
346.5,0.3499
347,0.3562
347.5,0.3445
348,0.3437
348.5,0.3501
349,0.3379
349.5,0.3475
350,0.3845
350.5,0.414
351,0.4034
351.5,0.3888
352,0.3802
352.5,0.3599
353,0.3831
353.5,0.4219
354,0.4468
354.5,0.4524
355,0.4531
355.5,0.4382
356,0.4118
356.5,0.3869
357,0.3408
357.5,0.3455
358,0.3221
358.5,0.2995
359,0.3529
359.5,0.4259
360,0.4512
360.5,0.427
361,0.3935
361.5,0.3858
362,0.4048
362.5,0.4438
363,0.4571
363.5,0.4451
364,0.4616
364.5,0.4578
365,0.476
365.5,0.5246
366,0.5628
366.5,0.5644
367,0.5546
367.5,0.5448
368,0.5136
368.5,0.5108
369,0.5346
369.5,0.5751
370,0.5838
370.5,0.5284
371,0.5374
371.5,0.5591
372,0.524
372.5,0.4998
373,0.482
373.5,0.435
374,0.4343
374.5,0.4316
375,0.4611
375.5,0.5105
376,0.5292
376.5,0.5213
377,0.56
377.5,0.6254
378,0.6747
378.5,0.6584
379,0.588
379.5,0.5278
380,0.5554
380.5,0.5956
381,0.6066
381.5,0.5472
382,0.4669
382.5,0.4043
383,0.3628
383.5,0.3515
384,0.4071
384.5,0.4906
385,0.5391
385.5,0.5156
386,0.498
386.5,0.5183
387,0.5235
387.5,0.5164
388,0.5119
388.5,0.5088
389,0.5529
389.5,0.6135
390,0.6442
390.5,0.6502
391,0.6895
391.5,0.6999
392,0.645
392.5,0.5381
393,0.39
393.5,0.3104
394,0.4036
394.5,0.5573
395,0.6588
395.5,0.7023
396,0.6181
396.5,0.4499
397,0.3488
397.5,0.5156
398,0.6989
398.5,0.8261
399,0.8779
399.5,0.9056
400,0.9162
401,0.9556
402,0.9949
403,0.9595
404,0.9764
405,0.9538
406,0.9316
407,0.9163
408,0.9582
409,1.025
410,0.8747
411,0.9804
412,1.043
413,1.002
414,0.9927
415,1.029
416,1.061
417,1.036
418,0.9924
419,1.034
420,0.9488
421,1.079
422,1.066
423,1.033
424,1.029
425,1.061
426,1.032
427,0.9983
428,1.009
429,0.9353
430,0.7469
431,0.6788
432,1.13
433,1.053
434,0.9735
435,1.069
436,1.173
437,1.199
438,1.053
439,1.014
440,1.163
441,1.148
442,1.231
443,1.25
444,1.219
445,1.266
446,1.136
447,1.292
448,1.309
449,1.307
450,1.356
451,1.407
452,1.348
453,1.246
454,1.337
455,1.328
456,1.373
457,1.385
458,1.357
459,1.347
460,1.339
461,1.387
462,1.401
463,1.406
464,1.364
465,1.348
466,1.377
467,1.317
468,1.375
469,1.382
470,1.33
471,1.353
472,1.424
473,1.37
474,1.386
475,1.434
476,1.386
477,1.396
478,1.442
479,1.413
480,1.437
481,1.436
482,1.442
483,1.425
484,1.398
485,1.394
486,1.131
487,1.267
488,1.371
489,1.292
490,1.444
491,1.389
492,1.324
493,1.417
494,1.384
495,1.47
496,1.398
497,1.422
498,1.384
499,1.384
500,1.379
501,1.338
502,1.338
503,1.401
504,1.312
505,1.401
506,1.459
507,1.397
508,1.361
509,1.426
510,1.389
511,1.414
512,1.451
513,1.364
514,1.335
515,1.374
516,1.387
517,1.131
518,1.293
519,1.254
520,1.369
521,1.38
522,1.411
523,1.33
524,1.431
525,1.421
526,1.381
527,1.208
528,1.383
529,1.448
530,1.392
531,1.469
532,1.442
533,1.288
534,1.38
535,1.401
536,1.461
537,1.352
538,1.42
539,1.386
540,1.339
541,1.289
542,1.403
543,1.379
544,1.429
545,1.396
546,1.384
547,1.401
548,1.361
549,1.403
550,1.393
551,1.391
552,1.42
553,1.38
554,1.407
555,1.415
556,1.391
557,1.357
558,1.386
559,1.312
560,1.335
561,1.413
562,1.346
563,1.397
564,1.37
565,1.379
566,1.305
567,1.392
568,1.381
569,1.354
570,1.353
571,1.306
572,1.383
573,1.389
