wavelength_nm,irradiance_W_m2_nm
280,8.754e-22
280.5,3.002e-20
281,1.442e-19
281.5,5.217e-18
282,1.991e-19
282.5,4.322e-19
283,1.265e-18
283.5,2.171e-18
284,3.544e-17
284.5,1.127e-16
285,3.52e-16
285.5,1.962e-15
286,6.26e-15
286.5,3.963e-14
287,1.324e-13
287.5,5.538e-13
288,3.41e-12
288.5,9.687e-12
289,2.628e-11
289.5,1.133e-10
290,3.765e-10
290.5,9.613e-10
291,2.811e-09
291.5,1.062e-08
292,3.055e-08
292.5,5.21e-08
293,1.215e-07
293.5,3.92e-07
294,8.266e-07
294.5,1.308e-06
295,2.849e-06
295.5,8.009e-06
296,1.616e-05
296.5,2.204e-05
297,3.22e-05
297.5,6.915e-05
298,0.000118
298.5,0.0001558
299,0.0002289
299.5,0.0004533
300,0.0005576
300.5,0.000727
301,0.001252
301.5,0.001911
302,0.002164
302.5,0.003477
303,0.005906
303.5,0.007521
304,0.007899
304.5,0.01005
305,0.01423
305.5,0.0164
306,0.01632
306.5,0.0187
307,0.02523
307.5,0.03293
308,0.03489
308.5,0.03853
309,0.0379
309.5,0.04434
310,0.05148
310.5,0.06567
311,0.08232
311.5,0.08294
312,0.09086
312.5,0.09544
313,0.1028
313.5,0.1029
314,0.1136
314.5,0.123
315,0.1277
315.5,0.1108
316,0.1151
316.5,0.1395
317,0.1587
317.5,0.1683
318,0.1619
318.5,0.1706
319,0.1875
319.5,0.1788
320,0.1869
320.5,0.2231
321,0.2276
321.5,0.2163
322,0.2005
322.5,0.1958
323,0.1914
323.5,0.2293
324,0.2532
324.5,0.2601
325,0.2493
325.5,0.29
326,0.3479
326.5,0.3708
327,0.3616
327.5,0.3489
328,0.3111
328.5,0.3362
329,0.3815
329.5,0.4226
330,0.424
330.5,0.3843
331,0.361
331.5,0.3745
332,0.3904
332.5,0.3926
333,0.3831
333.5,0.3623
334,0.3688
334.5,0.3954
335,0.4118
335.5,0.4171
336,0.382
336.5,0.3376
337,0.3295
337.5,0.3526
338,0.3821
338.5,0.4119
339,0.415
339.5,0.4269
340,0.4392
340.5,0.4378
341,0.4209
341.5,0.4125
342,0.4281
342.5,0.4422
343,0.4515
343.5,0.4285
344,0.3626
344.5,0.3594
345,0.401
345.5,0.4242
346,0.4121
346.5,0.4183
347,0.4269
347.5,0.4125
348,0.4075
348.5,0.4125
349,0.3964
349.5,0.4068
350,0.4486
350.5,0.4816
351,0.4692
351.5,0.4547
352,0.4409
352.5,0.4146
353,0.4392
353.5,0.4819
354,0.5084
354.5,0.5134
355,0.5133
355.5,0.4948
356,0.4636
356.5,0.4343
357,0.3816
357.5,0.3857
358,0.3585
358.5,0.3325
359,0.3909
359.5,0.4712
360,0.4977
360.5,0.4696
361,0.4315
361.5,0.4219
362,0.4417
362.5,0.4831
363,0.4964
363.5,0.4823
364,0.4989
364.5,0.4938
365,0.5122
365.5,0.5631
366,0.6028
366.5,0.6032
367,0.5913
367.5,0.5796
368,0.5451
368.5,0.541
369,0.565
369.5,0.6065
370,0.6144
370.5,0.5549
371,0.5632
371.5,0.5847
372,0.5468
372.5,0.5205
373,0.5009
373.5,0.4512
374,0.4496
374.5,0.4459
375,0.4754
375.5,0.5252
376,0.5435
376.5,0.5343
377,0.5728
377.5,0.6385
378,0.6874
378.5,0.6695
379,0.5966
379.5,0.5344
380,0.5612
380.5,0.6007
381,0.6106
381.5,0.5498
382,0.4682
382.5,0.4047
383,0.3624
383.5,0.3505
384,0.4052
384.5,0.4875
385,0.5347
385.5,0.5105
386,0.4922
386.5,0.5114
387,0.5156
387.5,0.5077
388,0.5024
388.5,0.4986
389,0.5408
389.5,0.599
390,0.628
390.5,0.6328
391,0.6698
391.5,0.6788
392,0.6245
392.5,0.5201
393,0.3764
393.5,0.2991
394,0.3883
394.5,0.5353
395,0.6319
395.5,0.6726
396,0.591
396.5,0.4295
397,0.3324
397.5,0.4907
398,0.664
398.5,0.7837
399,0.8318
399.5,0.8567
400,0.8654
401,0.9028
402,0.9372
403,0.9013
404,0.9147
405,0.8911
406,0.868
407,0.8514
408,0.8879
409,0.9472
410,0.8066
411,0.9018
412,0.9576
413,0.9176
414,0.9066
415,0.9374
416,0.9643
417,0.9394
418,0.8975
419,0.9331
420,0.8541
421,0.969
422,0.9547
423,0.9234
424,0.9172
425,0.9443
426,0.9167
427,0.8847
428,0.8925
429,0.8257
430,0.6581
431,0.5967
432,0.9916
433,0.9217
434,0.8506
435,0.9321
436,1.022
437,1.042
438,0.9135
439,0.878
440,1.006
441,0.9907
442,1.06
443,1.074
444,1.046
445,1.085
446,0.9718
447,1.104
448,1.116
449,1.112
450,1.151
451,1.193
452,1.141
453,1.053
454,1.128
455,1.119
456,1.155
457,1.163
458,1.137
459,1.127
460,1.119
461,1.157
462,1.167
463,1.17
464,1.134
465,1.119
466,1.142
467,1.09
468,1.136
469,1.14
470,1.096
471,1.113
472,1.171
473,1.125
474,1.136
475,1.173
476,1.133
477,1.139
478,1.174
479,1.15
480,1.167
481,1.165
482,1.168
483,1.153
484,1.13
485,1.126
486,0.9124
487,1.021
488,1.104
489,1.039
490,1.16
491,1.114
492,1.061
493,1.134
494,1.106
495,1.174
496,1.115
497,1.133
498,1.101
499,1.1
500,1.095
501,1.062
502,1.061
503,1.109
504,1.037
505,1.106
506,1.15
507,1.1
508,1.071
509,1.122
510,1.091
511,1.11
512,1.139
513,1.069
514,1.046
515,1.075
516,1.084
517,0.8827
518,1.009
519,0.977
520,1.066
521,1.073
522,1.096
523,1.032
524,1.11
525,1.1
526,1.068
527,0.9336
528,1.067
529,1.116
530,1.072
531,1.13
532,1.109
533,0.9895
534,1.059
535,1.075
536,1.12
537,1.036
538,1.087
539,1.06
540,1.023
541,0.9841
542,1.07
543,1.051
544,1.088
545,1.062
546,1.053
547,1.065
548,1.033
549,1.065
550,1.056
551,1.054
552,1.075
553,1.044
554,1.063
555,1.068
556,1.05
557,1.023
558,1.044
559,0.9873
560,1.004
561,1.062
562,1.01
563,1.048
564,1.027
565,1.033
566,0.9764
567,1.041
568,1.032
569,1.01
570,1.009
571,0.9734
572,1.03
573,1.034
574,1.028
575,1.005
576,0.9963
577,1.021
578,0.9885
579,1.001
580,1.017
581,1.02
582,1.035
583,1.045
584,1.042
585,1.033
586,1.008
587,1.032
588,1.014
589,0.8874
590,0.9426
591,1
592,0.9831
593,0.9906
594,0.9871
595,0.9772
596,0.9971
597,1.001
598,0.9854
599,0.9832
600,0.9898
601,0.9757
602,0.9602
603,0.9794
604,0.996
605,0.9938
606,0.9889
607,0.9949
608,0.9916
609,0.9841
610,0.9799
611,0.9748
612,0.9893
613,0.9752
614,0.9456
615,0.9803
616,0.9545
617,0.9424
618,0.9781
619,0.9827
620,0.983
621,0.987
622,0.951
623,0.9437
624,0.941
625,0.9353
626,0.935
627,0.9635
628,0.9196
629,0.9466
630,0.9331
631,0.9465
632,0.913
633,0.9696
634,0.9533
635,0.9648
636,0.942
637,0.9738
638,0.9792
639,0.9749
640,0.9542
641,0.9545
642,0.9559
643,0.9663
644,0.9616
645,0.9695
646,0.9455
647,0.948
648,0.9419
649,0.912
650,0.9088
651,0.9639
652,0.9374
653,0.9553
654,0.9436
655,0.9053
656,0.7917
657,0.828
658,0.923
659,0.9246
660,0.9293
661,0.9227
662,0.9133
663,0.9153
664,0.9238
665,0.9403
666,0.9396
667,0.9329
668,0.9358
669,0.952
670,0.9387
671,0.9368
672,0.9236
673,0.9315
674,0.93
675,0.9223
676,0.9328
677,0.9241
678,0.9289
679,0.9209
680,0.9222
681,0.9186
682,0.9229
683,0.9129
684,0.9069
685,0.9072
686,0.887
687,0.6729
688,0.7625
689,0.7669
690,0.7987
691,0.828
692,0.8504
693,0.8557
694,0.8547
695,0.8618
696,0.8621
697,0.8896
698,0.8762
699,0.8709
700,0.8641
701,0.8566
702,0.8533
703,0.8582
704,0.8729
705,0.8832
706,0.8751
707,0.8708
708,0.8678
709,0.8667
710,0.8738
711,0.8709
712,0.8635
713,0.8548
714,0.8621
715,0.8376
716,0.8484
717,0.7808
718,0.7479
719,0.6799
720,0.7231
721,0.7637
722,0.8345
723,0.791
724,0.7531
725,0.7481
726,0.7662
727,0.7649
728,0.7475
729,0.7345
730,0.7857
731,0.7521
732,0.7932
