wavelength_nm,irradiance_W_m2_nm
280,2.479e-24
280.5,7.43e-23
281,3.817e-22
281.5,1.201e-20
282,1.032e-19
282.5,4.268e-19
283,1.894e-18
283.5,3.814e-18
284,8.884e-17
284.5,3.345e-16
285,1.174e-15
285.5,6.845e-15
286,2.326e-14
286.5,1.536e-13
287,5.349e-13
287.5,2.283e-12
288,1.42e-11
288.5,4.148e-11
289,1.43e-10
289.5,5.579e-10
290,1.687e-09
290.5,4.027e-09
291,1.067e-08
291.5,3.452e-08
292,8.769e-08
292.5,1.434e-07
293,2.974e-07
293.5,7.993e-07
294,1.504e-06
294.5,2.416e-06
295,4.564e-06
295.5,1.043e-05
296,1.819e-05
296.5,2.738e-05
297,3.744e-05
297.5,7.226e-05
298,0.0001131
298.5,0.0001404
299,0.0001939
299.5,0.0003373
300,0.0004076
300.5,0.0004973
301,0.0007682
301.5,0.00107
302,0.001166
302.5,0.001707
303,0.002813
303.5,0.003559
304,0.003749
304.5,0.004652
305,0.006243
305.5,0.007007
306,0.006947
306.5,0.007839
307,0.01011
307.5,0.01267
308,0.01349
308.5,0.01466
309,0.01427
309.5,0.01485
310,0.01731
310.5,0.02225
311,0.02795
311.5,0.02835
312,0.03082
312.5,0.03227
313,0.03487
313.5,0.03547
314,0.0388
314.5,0.04136
315,0.04319
315.5,0.03827
316,0.03917
316.5,0.04698
317,0.05391
317.5,0.05795
318,0.05536
318.5,0.05723
319,0.06248
319.5,0.06139
320,0.06483
320.5,0.0757
321,0.07572
321.5,0.07232
322,0.06946
322.5,0.06809
323,0.06571
323.5,0.07505
324,0.08316
324.5,0.08688
325,0.08761
325.5,0.1009
326,0.1167
326.5,0.1235
327,0.1219
327.5,0.119
328,0.1111
328.5,0.1154
329,0.1295
329.5,0.1436
330,0.1456
330.5,0.1343
331,0.1274
331.5,0.1315
332,0.1359
332.5,0.1366
333,0.1345
333.5,0.1292
334,0.1323
334.5,0.1409
335,0.1465
335.5,0.1431
336,0.1316
336.5,0.1223
337,0.1205
337.5,0.1297
338,0.1399
338.5,0.1465
339,0.1495
339.5,0.1536
340,0.1637
340.5,0.1637
341,0.154
341.5,0.1534
342,0.1604
342.5,0.1668
343,0.1698
343.5,0.161
344,0.1396
344.5,0.1345
345,0.1532
