wavelength_nm,irradiance_W_m2_nm
280,3.709e-19
280.5,3.414e-18
281,1.154e-17
281.5,1.353e-16
282,6.471e-16
282.5,1.813e-15
283,5.572e-15
283.5,9.091e-15
284,8.659e-14
284.5,2.148e-13
285,4.858e-13
285.5,1.705e-12
286,4.674e-12
286.5,1.542e-11
287,4.277e-11
287.5,1.374e-10
288,6.027e-10
288.5,1.457e-09
289,4.152e-09
289.5,1.323e-08
290,3.326e-08
290.5,7.088e-08
291,1.658e-07
291.5,4.672e-07
292,1.075e-06
292.5,1.667e-06
293,3.279e-06
293.5,8.476e-06
294,1.239e-05
294.5,1.706e-05
295,2.998e-05
295.5,6.329e-05
296,0.0001048
296.5,0.000151
297,0.0001999
297.5,0.0003732
298,0.000572
298.5,0.0007018
299,0.0009626
299.5,0.001687
300,0.002055
300.5,0.002533
301,0.003625
301.5,0.004739
302,0.004986
302.5,0.007041
303,0.01124
303.5,0.01394
304,0.01449
304.5,0.01764
305,0.02323
305.5,0.02574
306,0.02528
306.5,0.02824
307,0.04059
307.5,0.04832
308,0.05069
308.5,0.05364
309,0.05113
309.5,0.05097
310,0.05812
310.5,0.07363
311,0.09092
311.5,0.09117
312,0.09668
312.5,0.09957
313,0.1064
313.5,0.1078
314,0.116
314.5,0.1218
315,0.1262
315.5,0.1113
316,0.1127
316.5,0.1339
317,0.1527
317.5,0.1631
318,0.1547
318.5,0.1591
319,0.1729
319.5,0.1684
320,0.1767
320.5,0.2056
321,0.2055
321.5,0.2009
322,0.1853
322.5,0.1806
323,0.1739
323.5,0.2042
324,0.2251
324.5,0.2333
325,0.2268
325.5,0.2676
326,0.309
326.5,0.3266
327,0.3199
327.5,0.3101
328,0.2869
328.5,0.2978
329,0.3344
329.5,0.3698
330,0.3722
330.5,0.3401
331,0.3204
331.5,0.3301
332,0.3415
332.5,0.3426
333,0.335
333.5,0.3188
334,0.3247
334.5,0.3459
335,0.3812
335.5,0.3628
336,0.3322
336.5,0.2952
337,0.289
337.5,0.3095
338,0.3338
338.5,0.3582
339,0.361
339.5,0.3715
340,0.4071
340.5,0.403
341,0.3662
341.5,0.3588
342,0.3724
342.5,0.3847
343,0.3929
343.5,0.3728
344,0.3327
344.5,0.3127
345,0.349
345.5,0.3694
346,0.359
346.5,0.3644
347,0.3719
347.5,0.3594
348,0.3551
348.5,0.3595
349,0.3456
349.5,0.3548
350,0.3913
350.5,0.4201
351,0.4093
351.5,0.3968
352,0.3849
352.5,0.362
353,0.3836
353.5,0.4209
354,0.444
354.5,0.4485
355,0.4484
355.5,0.4324
356,0.4052
356.5,0.3796
357,0.3336
357.5,0.3372
358,0.3134
358.5,0.2907
359,0.3417
359.5,0.4119
360,0.4351
360.5,0.4106
361,0.3774
361.5,0.3693
362,0.3869
362.5,0.4235
363,0.4354
363.5,0.4232
364,0.4381
364.5,0.4337
365,0.45
365.5,0.4949
366,0.5299
366.5,0.5305
367,0.5202
367.5,0.51
368,0.4798
368.5,0.4764
369,0.4977
369.5,0.5343
370,0.5415
370.5,0.4892
371,0.4967
371.5,0.5158
372,0.4825
372.5,0.4594
373,0.4423
373.5,0.3985
374,0.3972
374.5,0.3941
375,0.4202
375.5,0.4644
376,0.4806
376.5,0.4726
377,0.5067
377.5,0.565
378,0.6083
378.5,0.5925
