wavelength_nm,irradiance_W_m2_nm
586,1.082
587,1.099
588,1.048
589,0.8707
590,0.9276
591,1.011
592,0.9827
593,1.017
594,1.007
595,0.9814
596,1.045
597,1.045
598,1.041
599,1.048
600,1.07
601,1.067
602,1.054
603,1.08
604,1.101
605,1.101
606,1.096
607,1.103
608,1.099
609,1.091
610,1.087
611,1.082
612,1.099
613,1.083
614,1.051
615,1.09
616,1.061
617,1.048
618,1.089
619,1.094
620,1.095
621,1.1
622,1.062
623,1.055
624,1.052
625,1.045
626,1.042
627,1.066
628,1.003
629,1.042
630,1.034
631,1.055
632,1.007
633,1.075
634,1.062
635,1.074
636,1.051
637,1.086
638,1.097
639,1.092
640,1.07
641,1.071
642,1.074
643,1.082
644,1.079
645,1.082
646,1.034
647,1.006
648,0.9881
649,0.96
650,0.9952
651,1.063
652,0.978
653,1.052
654,1.042
655,0.9784
656,0.8664
657,0.905
658,1.023
659,1.032
660,1.041
661,1.045
662,1.041
663,1.042
664,1.052
665,1.072
666,1.072
667,1.064
668,1.069
669,1.088
670,1.073
671,1.072
672,1.057
673,1.066
674,1.065
675,1.057
676,1.07
677,1.06
678,1.066
679,1.057
680,1.059
681,1.055
682,1.06
683,1.048
684,1.041
685,1.043
686,1.019
687,0.7378
688,0.8543
689,0.8592
690,0.8992
691,0.9323
692,0.9395
693,0.8844
694,0.852
695,0.8968
696,0.8954
697,0.9924
698,0.9746
699,0.9202
700,0.9109
701,0.8837
702,0.8985
703,0.9078
704,0.9529
705,0.9525
706,0.9597
707,0.9564
708,0.9536
709,0.974
710,0.9703
711,0.9753
712,0.9764
713,0.9585
714,0.9685
715,0.9171
716,0.919
717,0.6818
718,0.6106
719,0.5472
720,0.5716
721,0.7037
722,0.8806
723,0.7715
724,0.666
725,0.6306
726,0.6712
727,0.6992
728,0.6371
729,0.6832
730,0.7247
731,0.6802
732,0.7806
733,0.8508
734,0.8938
735,0.8732
736,0.8621
737,0.8617
738,0.9044
739,0.8784
740,0.9138
741,0.9182
742,0.9278
743,0.9505
744,0.9643
745,0.9692
746,0.9674
747,0.9696
748,0.9648
749,0.9623
750,0.9615
751,0.9574
752,0.9615
753,0.9572
754,0.9693
755,0.9666
756,0.9558
757,0.9553
758,0.9615
759,0.9349
760,0.2116
761,0.1227
762,0.5436
763,0.3017
764,0.4274
765,0.543
766,0.6433
767,0.7676
768,0.8762
769,0.8871
770,0.9129
771,0.9191
772,0.9268
773,0.9266
774,0.9271
775,0.9274
776,0.9299
777,0.9248
778,0.9239
779,0.9284
780,0.9187
781,0.9168
782,0.9213
783,0.9178
784,0.9121
785,0.9131
786,0.9114
787,0.8828
788,0.8632
789,0.8528
790,0.8099
791,0.8392
792,0.8358
793,0.8275
794,0.863
795,0.8521
796,0.8054
797,0.8149
798,0.8614
799,0.839
800,0.8161
801,0.8213
802,0.8216
803,0.8021
804,0.816
805,0.8083
806,0.8554
807,0.8438
808,0.8431
809,0.8112
810,0.7959
811,0.7891
812,0.7436
813,0.7228
814,0.5901
815,0.5903
816,0.5336
817,0.554
818,0.5223
819,0.6298
820,0.5802
821,0.7448
822,0.6953
823,0.384
824,0.6464
825,0.7216
826,0.6723
827,0.7319
828,0.5612
829,0.6721
830,0.6524
831,0.6581
832,0.6239
833,0.7065
834,0.6687
835,0.7737
836,0.71
837,0.7786
838,0.7512
839,0.7737
840,0.79
841,0.7776
842,0.7805
843,0.8003
844,0.7768
845,0.8123
846,0.8169
847,0.7996
848,0.7942
849,0.7895
850,0.7168
851,0.7764
852,0.7744
853,0.7772
854,0.6804
855,0.7374
856,0.7824
857,0.8024
858,0.8006
859,0.8027
860,0.8024
861,0.8004
862,0.8081
863,0.813
864,0.7957
865,0.7833
866,0.6906
867,0.7449
868,0.7806
869,0.773
870,0.7879
871,0.7767
872,0.7878
873,0.7802
874,0.7667
875,0.7554
876,0.7762
877,0.7799
878,0.7754
879,0.763
880,0.7662
881,0.7372
882,0.7564
883,0.7555
884,0.7589
885,0.7685
886,0.7282
887,0.7383
888,0.7412
889,0.7629
890,0.7413
891,0.747
892,0.7224
893,0.6819
894,0.6334
895,0.5695
896,0.5146
897,0.4081
898,0.4643
899,0.3188
900,0.5127
901,0.3389
902,0.4423
903,0.4408
904,0.624
905,0.5922
906,0.5523
907,0.3938
908,0.4109
909,0.4656
910,0.3712
911,0.4338
912,0.4433
913,0.3703
914,0.3693
915,0.405
916,0.332
917,0.4739
918,0.3345
919,0.4959
920,0.5258
921,0.5608
922,0.4687
923,0.54
924,0.4713
925,0.4678
926,0.4554
927,0.5423
928,0.3098
929,0.2653
930,0.1738
931,0.1631
932,0.08905
933,0.06225
934,0.01686
935,0.07103
936,0.03159
937,0.03181
938,0.04348
939,0.1584
940,0.213
941,0.1361
942,0.1621
943,0.08955
944,0.1142
945,0.1417
946,0.04749
947,0.135
948,0.09753
949,0.2104
950,0.02469
951,0.208
952,0.07559
953,0.1258
954,0.1824
955,0.119
956,0.1563
957,0.07742
958,0.247
959,0.1622
960,0.1831
961,0.2304
962,0.2201
963,0.2795
964,0.2464
965,0.2761
966,0.2626
967,0.257
968,0.4635
969,0.4705
970,0.412
971,0.5274
972,0.5009
973,0.3744
974,0.3647
975,0.39
976,0.3391
977,0.4437
978,0.4001
979,0.4274
980,0.3995
981,0.5357
982,0.4993
983,0.4711
984,0.5813
985,0.4945
986,0.6043
987,0.5841
988,0.5822
989,0.6173
990,0.5798
991,0.6213
992,0.6218
993,0.5942
994,0.6275
995,0.6289
996,0.6221
997,0.6167
998,0.6161
999,0.6159
1000,0.6078
1001,0.6218
1002,0.5881
1003,0.6122
1004,0.5983
1005,0.571
1006,0.5931
1007,0.6081
1008,0.6032
1009,0.5938
1010,0.591
1011,0.6051
1012,0.598
1013,0.6026
1014,0.6054
1015,0.5942
1016,0.5968
1017,0.5891
1018,0.6014
1019,0.5723
1020,0.5877
1021,0.5915
1022,0.5788
1023,0.5828
1024,0.5703
1025,0.5882
1026,0.5853
1027,0.583
1028,0.5833
1029,0.5762
1030,0.5837
1031,0.5796
1032,0.5819
1033,0.5719
1034,0.5761
1035,0.5786
1036,0.5775
1037,0.5726
1038,0.5698
1039,0.5736
1040,0.5701
1041,0.57
1042,0.5707
1043,0.565
1044,0.5677
1045,0.5646
1046,0.55
1047,0.5584
1048,0.5635
1049,0.5603
1050,0.5568
1051,0.5574
1052,0.5541
1053,0.5525
1054,0.5502
1055,0.5519
1056,0.5502
1057,0.5491
1058,0.5435
1059,0.5267
1060,0.5417
1061,0.5291
1062,0.5381
1063,0.529
1064,0.5389
1065,0.5333
1066,0.526
1067,0.5272
1068,0.5243
1069,0.4949
1070,0.5055
1071,0.5239
1072,0.5145
1073,0.5073
1074,0.5289
1075,0.4851
1076,0.5191
1077,0.5008
1078,0.4935
1079,0.5124
1080,0.4867
1081,0.4687
1082,0.4892
1083,0.5017
1084,0.4617
1085,0.484
1086,0.427
1087,0.4567
1088,0.49
1089,0.4622
1090,0.4354
1091,0.479
1092,0.4817
1093,0.3748
1094,0.4339
1095,0.3826
1096,0.3578
1097,0.4749
1098,0.3497
1099,0.3591
1100,0.327
1101,0.3415
1102,0.3091
1103,0.2987
1104,0.3007
1105,0.346
1106,0.2102
1107,0.3248
1108,0.2392
1109,0.2304
1110,0.289
1111,0.1637
1112,0.2269
1113,0.113
1114,0.1271
1115,0.1017
1116,0.0615
1117,0.01044
1118,0.07008
1119,0.02222
1120,0.02569
1121,0.0395
1122,0.008636
1123,0.0236
1124,0.01985
1125,0.02976
1126,0.003312
1127,0.03319
1128,0.01139
1129,0.0128
1130,0.007722
1131,0.0961
1132,0.06848
1133,0.02752
1134,0.00255
1135,0.001223
1136,0.01831
1137,0.08688
1138,0.0571
1139,0.1302
1140,0.09254
1141,0.05505
1142,0.07151
1143,0.1209
1144,0.02525
1145,0.02592
1146,0.02786
1147,0.003702
1148,0.101
1149,0.06906
1150,0.03158
1151,0.05747
1152,0.08437
1153,0.0937
1154,0.02651
1155,0.1366
1156,0.1122
1157,0.1502
1158,0.1481
1159,0.1698
1160,0.1318
1161,0.1853
1162,0.1819
1163,0.3266
1164,0.2361
1165,0.2251
1166,0.2258
1167,0.2515
1168,0.272
1169,0.2798
1170,0.3247
1171,0.3169
1172,0.3283
1173,0.3237
1174,0.1928
1175,0.3352
1176,0.3793
1177,0.3583
1178,0.2376
1179,0.3895
1180,0.3179
1181,0.333
1182,0.1948
1183,0.3276
1184,0.2988
1185,0.2752
1186,0.369
1187,0.3378
1188,0.1957
1189,0.3035
1190,0.3603
1191,0.319
1192,0.3735
1193,0.3465
1194,0.3662
1195,0.3282
1196,0.306
1197,0.3806
1198,0.3354
1199,0.2437
1200,0.3437
1201,0.3193
1202,0.3339
1203,0.3216
1204,0.252
1205,0.3426
1206,0.3964
1207,0.3218
1208,0.3373
1209,0.3213
1210,0.3622
1211,0.3256
1212,0.303
1213,0.3779
1214,0.3182
1215,0.3118
1216,0.3787
1217,0.3619
1218,0.3722
1219,0.357
1220,0.3725
1221,0.3844
1222,0.3693
1223,0.3595
1224,0.3535
1225,0.3802
1226,0.3923
1227,0.3392
1228,0.3933
1229,0.392
1230,0.3817
1231,0.4067
1232,0.4014
1233,0.371
1234,0.4098
1235,0.4016
1236,0.4084
1237,0.3966
1238,0.408
1239,0.4033
1240,0.4031
1241,0.3992
1242,0.4044
1243,0.4009
1244,0.3976
1245,0.4001
1246,0.4028
1247,0.4003
1248,0.3991
1249,0.4029
1250,0.4005
1251,0.3967
1252,0.3947
1253,0.3926
1254,0.3858
1255,0.3937
1256,0.3856
1257,0.3818
1258,0.3882
1259,0.3747
1260,0.3765
1261,0.3593
1262,0.3472
1263,0.349
1264,0.3242
1265,0.3469
1266,0.3385
1267,0.3379
1268,0.3242
1269,0.2164
1270,0.3398
1271,0.3547
1272,0.3555
1273,0.3542
1274,0.3513
1275,0.3612
1276,0.3628
1277,0.3592
1278,0.3749
1279,0.3656
1280,0.36
1281,0.3544
1282,0.3256
1283,0.3542
