wavelength_nm,irradiance_W_m2_nm
280,2.366e-22
280.5,5.078e-21
281,2.303e-20
281.5,5.244e-19
282,3.693e-18
282.5,1.338e-17
283,5.131e-17
283.5,9.629e-17
284,1.602e-15
284.5,5.165e-15
285,1.536e-14
285.5,7.361e-14
286,2.314e-13
286.5,1.299e-12
287,4.013e-12
287.5,1.466e-11
288,7.473e-11
288.5,1.966e-10
289,6.089e-10
289.5,2.11e-09
290,5.798e-09
290.5,1.277e-08
291,3.07e-08
291.5,8.777e-08
292,2.016e-07
292.5,3.119e-07
293,6.02e-07
293.5,1.466e-06
294,2.581e-06
294.5,3.947e-06
295,7.007e-06
295.5,1.482e-05
296,2.452e-05
296.5,3.511e-05
297,4.618e-05
297.5,8.434e-05
298,0.0001263
298.5,0.0001518
299,0.0002035
299.5,0.0003371
300,0.0003968
300.5,0.0004729
301,0.000705
301.5,0.0009546
302,0.001027
302.5,0.001468
303,0.002348
303.5,0.002924
304,0.003059
304.5,0.003726
305,0.004876
305.5,0.005395
306,0.005326
306.5,0.005963
307,0.007549
307.5,0.009307
308,0.009899
308.5,0.01069
309,0.01036
309.5,0.0106
310,0.01227
310.5,0.01573
311,0.01968
311.5,0.01994
312,0.02143
312.5,0.02229
313,0.02403
313.5,0.02457
314,0.02667
314.5,0.02815
315,0.02938
315.5,0.02622
316,0.02664
316.5,0.03177
317,0.03652
317.5,0.0394
318,0.03752
318.5,0.03851
319,0.04193
319.5,0.04156
320,0.044
320.5,0.05103
321,0.05075
321.5,0.04852
322,0.04704
322.5,0.04617
323,0.04441
323.5,0.0504
324,0.05588
324.5,0.05865
325,0.05955
325.5,0.06843
326,0.07887
326.5,0.08335
327,0.08247
327.5,0.08077
328,0.07592
328.5,0.07851
329,0.08792
329.5,0.09758
330,0.09914
330.5,0.0919
331,0.08738
331.5,0.09013
332,0.09306
332.5,0.09355
333,0.09232
333.5,0.08902
334,0.09132
334.5,0.09718
335,0.1011
335.5,0.0989
336,0.09108
336.5,0.08483
337,0.08382
337.5,0.09041
338,0.09748
338.5,0.1022
339,0.1044
339.5,0.1074
340,0.1148
340.5,0.1149
341,0.1081
341.5,0.1079
342,0.1129
342.5,0.1176
343,0.12
343.5,0.1139
344,0.09905
344.5,0.09549
345,0.1089
345.5,0.1164
346,0.1141
346.5,0.1166
347,0.1191
347.5,0.1154
348,0.1153
348.5,0.1177
349,0.1138
349.5,0.1174
350,0.1301
350.5,0.1404
351,0.1371
351.5,0.1325
352,0.1298
352.5,0.1231
353,0.1313
353.5,0.1449
354,0.1537
354.5,0.156
355,0.1566
355.5,0.1517
356,0.1428
356.5,0.1344
357,0.1186
357.5,0.1205
358,0.1125
358.5,0.1048
359,0.1237
359.5,0.1496
360,0.1588
360.5,0.1506
361,0.139
361.5,0.1366
362,0.1437
362.5,0.1579
363,0.1629
363.5,0.159
364,0.1652
364.5,0.1642
365,0.171
365.5,0.1888
366,0.203
366.5,0.204
367,0.2008
367.5,0.1976
368,0.1866
368.5,0.1859
369,0.195
369.5,0.2101
370,0.2137
370.5,0.1937
371,0.1974
371.5,0.2057
372,0.1931
372.5,0.1845
373,0.1783
373.5,0.1612
374,0.1612
374.5,0.1605
375,0.1717
375.5,0.1904
376,0.1978
376.5,0.1951
377,0.2099
377.5,0.2348
378,0.2537
378.5,0.2479
379,0.2217
379.5,0.1994
380,0.2101
380.5,0.2257
381,0.2303
381.5,0.2081
382,0.1779
382.5,0.1543
383,0.1387
383.5,0.1346
384,0.1562
384.5,0.1885
385,0.2075
385.5,0.1988
386,0.1923
386.5,0.2004
387,0.2027
387.5,0.2003
388,0.1989
388.5,0.198
389,0.2155
389.5,0.2394
390,0.2518
390.5,0.2546
391,0.2703
391.5,0.2748
392,0.2536
392.5,0.2119
393,0.1538
393.5,0.1226
394,0.1597
394.5,0.2208
395,0.2614
395.5,0.279
396,0.2459
396.5,0.1793
397,0.1392
397.5,0.206
398,0.2797
398.5,0.3311
399,0.3523
399.5,0.3639
400,0.3687
401,0.3857
402,0.4027
403,0.3894
404,0.3973
405,0.3892
406,0.3812
407,0.3759
408,0.3942
409,0.4227
410,0.3617
411,0.4065
412,0.4337
413,0.4177
414,0.4148
415,0.431
416,0.4455
417,0.4362
418,0.4188
419,0.4375
420,0.4024
421,0.4587
422,0.4541
423,0.4413
424,0.4404
425,0.4555
426,0.4441
427,0.4305
428,0.4361
429,0.4052
430,0.3243
