wavelength_nm,irradiance_W_m2_nm
280,9.069e-22
280.5,3.109e-20
281,1.492e-19
281.5,5.397e-18
282,2.059e-19
282.5,4.468e-19
283,1.308e-18
283.5,2.243e-18
284,3.666e-17
284.5,1.166e-16
285,3.648e-16
285.5,2.038e-15
286,6.511e-15
286.5,4.139e-14
287,1.388e-13
287.5,5.847e-13
288,3.645e-12
288.5,1.044e-11
289,2.907e-11
289.5,1.263e-10
290,4.23e-10
290.5,1.087e-09
291,3.205e-09
291.5,1.222e-08
292,3.547e-08
292.5,6.086e-08
293,1.423e-07
293.5,4.598e-07
294,9.694e-07
294.5,1.439e-06
295,3.123e-06
295.5,8.703e-06
296,1.74e-05
296.5,2.457e-05
297,3.594e-05
297.5,7.719e-05
298,0.0001316
298.5,0.0001736
299,0.0002546
299.5,0.000502
300,0.0006158
300.5,0.0008001
301,0.001368
301.5,0.002075
302,0.002341
302.5,0.003732
303,0.006375
303.5,0.008147
304,0.008572
304.5,0.01094
305,0.01548
305.5,0.01784
306,0.01775
306.5,0.02033
307,0.02741
307.5,0.03573
308,0.03785
308.5,0.04177
309,0.04106
309.5,0.04738
310,0.05515
310.5,0.07043
311,0.08846
311.5,0.0892
312,0.09803
312.5,0.1031
313,0.1112
313.5,0.1112
314,0.1231
314.5,0.1334
315,0.1386
315.5,0.1202
316,0.1249
316.5,0.1515
317,0.1723
317.5,0.1827
318,0.1758
318.5,0.1852
319,0.2034
319.5,0.1941
320,0.203
320.5,0.2422
321,0.2467
321.5,0.2345
322,0.2176
322.5,0.2125
323,0.2076
323.5,0.2472
324,0.273
324.5,0.2805
325,0.2704
325.5,0.3143
326,0.375
326.5,0.3994
327,0.3896
327.5,0.376
328,0.3371
328.5,0.3622
329,0.4105
329.5,0.4545
330,0.4562
330.5,0.4138
331,0.3888
331.5,0.4031
332,0.4197
332.5,0.4218
333,0.4117
333.5,0.3898
334,0.3968
334.5,0.4249
335,0.4421
335.5,0.4441
336,0.4066
336.5,0.3625
337,0.3541
337.5,0.3789
338,0.4101
338.5,0.4391
339,0.4431
339.5,0.4552
340,0.4713
340.5,0.4697
341,0.4491
341.5,0.4413
342,0.4583
342.5,0.4737
343,0.4828
343.5,0.4575
344,0.3887
344.5,0.3825
345,0.4284
345.5,0.4538
346,0.4412
346.5,0.448
347,0.4565
347.5,0.4408
348,0.4361
348.5,0.4418
349,0.4246
349.5,0.4356
350,0.4804
350.5,0.5157
351,0.502
351.5,0.4853
352,0.4712
352.5,0.4435
353,0.47
353.5,0.5158
354,0.5442
354.5,0.5495
355,0.5492
355.5,0.5294
356,0.496
356.5,0.4646
357,0.4082
357.5,0.4126
358,0.3835
358.5,0.3556
359,0.418
359.5,0.5035
360,0.5319
360.5,0.5018
361,0.4611
361.5,0.4509
362,0.4719
362.5,0.5161
363,0.5302
363.5,0.515
364,0.5328
364.5,0.5272
365,0.5468
365.5,0.6011
366,0.6433
366.5,0.6436
367,0.6309
367.5,0.6183
368,0.5815
368.5,0.577
369,0.6026
369.5,0.6467
370,0.655
370.5,0.5916
371,0.6003
371.5,0.6231
372,0.5827
372.5,0.5546
373,0.5336
373.5,0.4806
374,0.4788
374.5,0.4748
375,0.5062
375.5,0.5592
376,0.5785
376.5,0.5687
377,0.6096
377.5,0.6795
378,0.7314
378.5,0.7122
379,0.6347
379.5,0.5684
380,0.5968
380.5,0.6388
381,0.6492
381.5,0.5845
382,0.4977
382.5,0.4301
383,0.3851
383.5,0.3725
384,0.4306
384.5,0.5179
385,0.5679
385.5,0.5422
386,0.5227
386.5,0.543
387,0.5474
387.5,0.539
388,0.5333
388.5,0.5292
389,0.574
389.5,0.6356
390,0.6663
390.5,0.6713
391,0.7106
391.5,0.72
392,0.6624
392.5,0.5516
393,0.3991
393.5,0.3171
394,0.4117
394.5,0.5675
395,0.6697
395.5,0.7128
396,0.6263
396.5,0.4551
397,0.3523
397.5,0.5198
398,0.7035
398.5,0.8302
399,0.881
399.5,0.9074
400,0.9165
401,0.9533
402,0.9895
403,0.9515
404,0.9655
405,0.9405
406,0.916
407,0.8984
408,0.9368
409,0.9993
410,0.8508
411,0.9512
412,1.01
413,0.9675
414,0.9559
415,0.9882
416,1.016
417,0.9901
418,0.9459
419,0.9833
420,0.8999
421,1.021
422,1.006
423,0.9727
424,0.9661
425,0.9946
426,0.9653
427,0.9316
428,0.9397
429,0.8692
430,0.6926
431,0.6281
432,1.044
433,0.9699
434,0.8951
435,0.9808
436,1.075
437,1.096
438,0.9607
439,0.9234
440,1.057
441,1.042
442,1.114
443,1.13
444,1.099
445,1.14
446,1.021
447,1.16
448,1.172
449,1.168
450,1.21
451,1.253
452,1.199
453,1.106
454,1.185
455,1.175
456,1.213
457,1.222
458,1.194
459,1.184
460,1.175
461,1.215
462,1.225
463,1.228
464,1.19
465,1.174
466,1.198
467,1.143
468,1.192
469,1.196
470,1.149
471,1.167
472,1.227
473,1.179
474,1.191
475,1.23
476,1.187
477,1.194
478,1.231
479,1.205
480,1.223
481,1.221
482,1.224
483,1.208
484,1.184
485,1.179
486,0.9553
487,1.069
488,1.156
489,1.088
490,1.214
491,1.166
492,1.11
493,1.187
494,1.157
495,1.228
496,1.166
497,1.185
498,1.151
499,1.15
500,1.145
501,1.11
502,1.109
503,1.16
504,1.084
505,1.156
506,1.203
507,1.15
508,1.12
509,1.172
510,1.14
511,1.16
512,1.189
513,1.117
514,1.092
515,1.123
516,1.132
517,0.9217
518,1.053
519,1.02
520,1.113
521,1.12
522,1.144
523,1.078
524,1.158
525,1.148
526,1.115
527,0.9747
528,1.114
529,1.165
530,1.119
531,1.18
532,1.157
533,1.033
534,1.106
535,1.122
536,1.169
537,1.081
538,1.134
539,1.105
540,1.067
541,1.026
542,1.117
543,1.096
544,1.135
545,1.108
546,1.098
547,1.11
548,1.077
549,1.11
550,1.101
551,1.099
552,1.12
553,1.088
554,1.108
555,1.114
556,1.094
557,1.066
558,1.089
559,1.029
560,1.047
561,1.107
562,1.053
563,1.092
564,1.07
565,1.077
566,1.018
567,1.085
568,1.076
569,1.053
570,1.052
571,1.015
572,1.074
573,1.078
574,1.072
575,1.048
576,1.038
577,1.064
578,1.03
579,1.043
580,1.059
581,1.062
582,1.077
583,1.087
584,1.084
585,1.075
586,1.049
587,1.073
588,1.055
589,0.9236
590,0.9809
591,1.04
592,1.023
593,1.03
594,1.027
595,1.017
596,1.037
597,1.041
598,1.025
599,1.023
600,1.029
601,1.014
602,0.9983
603,1.018
604,1.035
605,1.033
606,1.028
607,1.034
608,1.03
609,1.022
610,1.017
611,1.012
612,1.027
613,1.012
614,0.981
615,1.017
616,0.9899
617,0.9772
618,1.014
619,1.019
620,1.019
621,1.023
622,0.9858
623,0.9785
624,0.9754
625,0.9691
626,0.9686
627,0.9981
628,0.9536
629,0.9807
630,0.9666
631,0.9799
632,0.9451
633,1.003
634,0.9861
635,0.9978
636,0.9741
637,1.007
638,1.012
639,1.008
640,0.9859
641,0.9861
642,0.9874
643,0.9979
644,0.9929
645,1.001
646,0.9761
647,0.9787
648,0.9724
649,0.9415
650,0.9377
651,0.9945
652,0.9673
653,0.9853
654,0.9731
655,0.9338
656,0.8164
657,0.8537
658,0.9515
659,0.953
660,0.9579
661,0.9514
662,0.9419
663,0.9437
664,0.9519
665,0.9687
666,0.9676
667,0.9605
668,0.9633
669,0.9798
670,0.966
671,0.9639
672,0.9502
673,0.9582
674,0.9565
675,0.9484
676,0.9592
677,0.9501
678,0.9549
679,0.9466
680,0.9479
681,0.944
682,0.9484
683,0.938
684,0.9318
685,0.932
686,0.9111
687,0.6962
688,0.7866
689,0.791
690,0.8228
691,0.8521
692,0.8743
693,0.8795
694,0.8784
695,0.8852
696,0.8854
697,0.9129
698,0.8991
699,0.894
700,0.8869
701,0.8792
702,0.8756
703,0.8805
704,0.8954
705,0.9059
706,0.8974
707,0.8929
708,0.8898
709,0.8885
710,0.8958
711,0.8926
712,0.8849
713,0.876
714,0.8834
715,0.8583
716,0.8695
717,0.8014
718,0.7679
719,0.6984
720,0.7427
721,0.7835
722,0.8549
723,0.811
724,0.7727
725,0.7676
726,0.786
727,0.7844
728,0.7669
729,0.7532
730,0.8053
731,0.7712
732,0.8127
733,0.8241
734,0.8468
735,0.8367
736,0.8281
737,0.8274
738,0.8334
739,0.8097
740,0.8254
741,0.8197
742,0.8181
743,0.8343
744,0.8395
745,0.8379
746,0.836
747,0.8362
748,0.831
749,0.8279
750,0.8268
751,0.8231
752,0.8259
753,0.8216
754,0.832
755,0.8295
756,0.8193
757,0.8185
758,0.8235
759,0.8024
760,0.2288
761,0.1445
762,0.5066
763,0.3081
764,0.4136
765,0.5053
766,0.5793
767,0.6732
768,0.7544
769,0.7603
770,0.7787
771,0.7821
772,0.7877
773,0.787
774,0.7868
775,0.7865
776,0.7882
777,0.7833
778,0.7824
779,0.7858
780,0.7771
781,0.7751
782,0.7787
783,0.7755
784,0.7702
785,0.7741
786,0.775
787,0.77
788,0.7625
789,0.7612
790,0.7446
791,0.7481
792,0.7401
793,0.7357
794,0.7339
795,0.7331
796,0.7301
797,0.7416
798,0.7468
799,0.7343
800,0.7247
801,0.7342
802,0.7347
803,0.7223
804,0.7297
805,0.711
806,0.7358
807,0.7291
808,0.7256
809,0.7103
810,0.7149
811,0.7152
812,0.7046
813,0.6968
814,0.6515
815,0.646
816,0.6156
817,0.6231
818,0.6066
819,0.6397
820,0.62
821,0.6821
822,0.6578
823,0.5255
824,0.6575
825,0.6668
826,0.6534
827,0.6763
828,0.6166
829,0.6484
830,0.6434
831,0.6469
832,0.6337
833,0.6544
834,0.6485
835,0.6769
836,0.6675
837,0.6801
838,0.6778
839,0.6739
840,0.6822
841,0.6807
842,0.6686
843,0.6708
844,0.6602
845,0.6774
846,0.6785
847,0.6593
848,0.661
849,0.6569
850,0.5951
851,0.6506
852,0.6462
853,0.6418
854,0.5674
855,0.6069
856,0.6477
857,0.6588
858,0.6594
859,0.6587
860,0.6559
861,0.6552
862,0.66
863,0.664
864,0.6498
865,0.6391
866,0.5633
867,0.6074
868,0.6363
869,0.6299
870,0.6418
871,0.6327
872,0.6412
873,0.6348
874,0.6236
875,0.6147
876,0.632
877,0.634
878,0.6318
879,0.6212
880,0.6231
881,0.6034
882,0.6193
883,0.6166
884,0.6192
885,0.6266
886,0.6047
887,0.6049
888,0.6145
889,0.6196
890,0.6156
891,0.6156
892,0.6073
893,0.5894
894,0.5818
895,0.5685
896,0.5495
897,0.5039
898,0.5255
899,0.4295
900,0.5306
901,0.4673
902,0.4881
903,0.509
904,0.5809
905,0.5679
906,0.546
907,0.4826
908,0.4887
909,0.5098
910,0.4785
911,0.4948
912,0.5042
913,0.4802
914,0.4788
915,0.5042
916,0.4507
917,0.5261
918,0.462
919,0.5285
920,0.5285
921,0.5412
922,0.5045
923,0.5168
924,0.5178
925,0.514
926,0.5047
927,0.5473
928,0.4599
929,0.4399
930,0.3797
931,0.3538
932,0.2882
933,0.2584
934,0.1939
935,0.2532
936,0.1875
937,0.1995
938,0.2317
939,0.3509
940,0.3926
941,0.3377
942,0.3492
943,0.2722
944,0.263
945,0.3303
946,0.2109
947,0.3367
948,0.2647
949,0.4183
950,0.1877
951,0.405
952,0.2727
953,0.3155
954,0.3567
955,0.3163
956,0.2913
957,0.2739
958,0.3634
959,0.3257
960,0.3585
961,0.3746
962,0.3649
963,0.3971
964,0.3677
965,0.3915
966,0.4008
967,0.4048
968,0.4619
969,0.482
970,0.4612
971,0.4918
972,0.4788
973,0.448
974,0.4273
975,0.4309
976,0.4302
977,0.457
978,0.449
979,0.4576
980,0.4428
981,0.4878
982,0.4807
983,0.4688
984,0.4953
985,0.4765
986,0.5003
987,0.4963
988,0.4936
989,0.4958
990,0.4909
991,0.4993
992,0.497
993,0.4922
994,0.4984
995,0.4961
996,0.4951
997,0.4886
998,0.4882
999,0.4879
1000,0.487
1001,0.4916
1002,0.4856
1003,0.4853
1004,0.4792
1005,0.4499
1006,0.4711
1007,0.4805
1008,0.481
1009,0.4772
1010,0.4773
1011,0.4771
1012,0.4755
1013,0.4734
1014,0.4754
1015,0.4673
1016,0.4694
1017,0.4644
1018,0.4709
1019,0.4559
1020,0.4611
1021,0.4626
1022,0.4553
1023,0.459
1024,0.458
1025,0.4599
1026,0.4596
1027,0.4573
1028,0.458
1029,0.4531
1030,0.4552
1031,0.4534
1032,0.4534
1033,0.4457
1034,0.4482
1035,0.4496
1036,0.4496
1037,0.4449
1038,0.4427
1039,0.4458
1040,0.4427
1041,0.4429
1042,0.443
1043,0.4386
1044,0.4406
1045,0.4382
1046,0.4268
1047,0.4333
1048,0.4372
1049,0.4348
1050,0.432
1051,0.4324
1052,0.4299
1053,0.4287
1054,0.4269
1055,0.4284
1056,0.4272
1057,0.4263
1058,0.422
1059,0.4093
1060,0.4206
1061,0.4111
1062,0.4189
1063,0.4122
1064,0.4183
1065,0.4171
1066,0.4086
1067,0.411
1068,0.4108
1069,0.3889
1070,0.402
1071,0.408
1072,0.4089
1073,0.4005
1074,0.4107
1075,0.3968
1076,0.4068
1077,0.4029
1078,0.4031
1079,0.3996
1080,0.4001
1081,0.3898
1082,0.3916
1083,0.3964
1084,0.3903
1085,0.3961
1086,0.3815
1087,0.3803
1088,0.3947
1089,0.3899
1090,0.379
1091,0.3932
1092,0.3867
1093,0.358
1094,0.3619
1095,0.3607
1096,0.3545
1097,0.3847
1098,0.355
1099,0.356
1100,0.3507
1101,0.3557
1102,0.3401
1103,0.3422
1104,0.3421
1105,0.3587
1106,0.3112
1107,0.3464
1108,0.3165
1109,0.3188
1110,0.3516
1111,0.2696
1112,0.3203
