wavelength_nm,irradiance_W_m2_nm
280,4.091e-20
280.5,1.061e-18
281,4.881e-18
281.5,3.067e-19
282,1.414e-18
282.5,4.239e-18
283,1.393e-17
283.5,2.435e-17
284,3.573e-16
284.5,1.079e-15
285,3.261e-15
285.5,1.551e-14
286,4.773e-14
286.5,2.704e-13
287,8.375e-13
287.5,3.148e-12
288,1.284e-11
288.5,3.744e-11
289,1.307e-10
289.5,5.183e-10
290,1.599e-09
290.5,3.862e-09
291,1.05e-08
291.5,3.577e-08
292,9.539e-08
292.5,1.615e-07
293,3.563e-07
293.5,1.064e-06
294,2.151e-06
294.5,3.021e-06
295,6.29e-06
295.5,1.673e-05
296,2.554e-05
296.5,4.017e-05
297,5.702e-05
297.5,0.0001171
298,0.0001931
298.5,0.0002493
299,0.0003582
299.5,0.0006772
300,0.0008385
300.5,0.001071
301,0.001789
301.5,0.002673
302,0.003002
302.5,0.004404
303,0.007276
303.5,0.009191
304,0.009689
304.5,0.01226
305,0.01698
305.5,0.01936
306,0.0192
306.5,0.02184
307,0.02897
307.5,0.03725
308,0.03952
308.5,0.04333
309,0.0461
309.5,0.04752
310,0.05501
310.5,0.07016
311,0.08769
311.5,0.08837
312,0.09609
312.5,0.1005
313,0.1082
313.5,0.1088
314,0.1193
314.5,0.1281
315,0.1332
315.5,0.1162
316,0.1198
316.5,0.1445
317,0.1646
317.5,0.1751
318,0.1678
318.5,0.1755
319,0.1923
319.5,0.1849
320,0.1936
320.5,0.2292
321,0.2322
321.5,0.2208
322,0.2066
322.5,0.2017
323,0.1962
323.5,0.2325
324,0.2568
324.5,0.2647
325,0.2562
325.5,0.2967
326,0.3532
326.5,0.3754
327,0.367
327.5,0.3548
328,0.3254
328.5,0.3415
329,0.3861
329.5,0.4276
330,0.4297
330.5,0.3908
331,0.3676
331.5,0.3804
332,0.3954
332.5,0.3972
333,0.3881
333.5,0.3682
334,0.3749
334.5,0.4009
335,0.417
335.5,0.4198
336,0.3845
336.5,0.3425
337,0.3348
337.5,0.3584
338,0.3876
338.5,0.4154
339,0.4192
339.5,0.431
340,0.446
340.5,0.4445
341,0.4252
341.5,0.4177
342,0.4338
342.5,0.4484
343,0.4572
343.5,0.4334
344,0.3686
344.5,0.3627
345,0.4062
345.5,0.4304
346,0.4185
346.5,0.425
347,0.4332
347.5,0.4185
348,0.4141
348.5,0.4195
349,0.4033
349.5,0.4139
350,0.4565
350.5,0.4901
351,0.4773
351.5,0.4617
352,0.4483
352.5,0.422
353,0.4473
353.5,0.4909
354,0.518
354.5,0.5232
355,0.523
355.5,0.5042
356,0.4725
356.5,0.4427
357,0.3889
357.5,0.3931
358,0.3653
358.5,0.3388
359,0.3982
359.5,0.4798
360,0.5068
360.5,0.4783
361,0.4396
361.5,0.4301
362,0.4505
362.5,0.493
363,0.5068
363.5,0.4925
364,0.5097
364.5,0.5045
365,0.5234
365.5,0.5755
366,0.6161
366.5,0.6166
367,0.6046
367.5,0.5926
368,0.5575
368.5,0.5534
369,0.578
369.5,0.6204
370,0.6286
370.5,0.5678
371,0.5763
371.5,0.5984
372,0.5597
372.5,0.5328
373,0.5128
373.5,0.4619
374,0.4603
374.5,0.4566
