wavelength_nm,irradiance_W_m2_nm
280,2.558e-26
280.5,1.101e-24
281,6.171e-24
281.5,2.769e-22
282,2.854e-21
282.5,1.335e-20
283,6.804e-20
283.5,1.47e-19
284,5.014e-18
284.5,2.174e-17
285,9.045e-17
285.5,6.474e-16
286,2.361e-15
286.5,1.854e-14
287,7.285e-14
287.5,3.677e-13
288,2.817e-12
288.5,9.098e-12
289,3.51e-11
289.5,1.542e-10
290,5.162e-10
290.5,1.334e-09
291,3.907e-09
291.5,1.447e-08
292,4.09e-08
292.5,7.059e-08
293,1.58e-07
293.5,4.721e-07
294,9.476e-07
294.5,1.6e-06
295,3.231e-06
295.5,8.037e-06
296,1.476e-05
296.5,2.335e-05
297,3.324e-05
297.5,6.802e-05
298,0.0001114
298.5,0.0001429
299,0.0002035
299.5,0.0003744
300,0.0004567
300.5,0.0005725
301,0.00092
301.5,0.001321
302,0.001458
302.5,0.002192
303,0.003736
303.5,0.004807
304,0.0051
304.5,0.006471
305,0.008938
305.5,0.01019
306,0.01015
306.5,0.01157
307,0.01525
307.5,0.01948
308,0.02076
308.5,0.02276
309,0.0223
309.5,0.02368
310,0.02783
310.5,0.03589
311,0.0454
311.5,0.04617
312,0.05091
312.5,0.05378
313,0.05833
313.5,0.05901
314,0.06528
314.5,0.07049
315,0.0737
315.5,0.06484
316,0.0671
316.5,0.08113
317,0.09303
317.5,0.09972
318,0.09583
318.5,0.1001
319,0.1097
319.5,0.1069
320,0.1128
320.5,0.1331
321,0.1342
321.5,0.1282
322,0.122
322.5,0.1197
323,0.1162
323.5,0.1339
324,0.1485
324.5,0.1547
325,0.155
325.5,0.1794
326,0.2087
326.5,0.2216
327,0.2184
327.5,0.2129
328,0.1977
328.5,0.2068
329,0.233
329.5,0.2587
330,0.2619
330.5,0.241
331,0.2284
331.5,0.2364
332,0.2451
332.5,0.2466
333,0.2426
333.5,0.2327
334,0.2382
334.5,0.2543
335,0.2648
335.5,0.2589
336,0.2381
336.5,0.221
337,0.2177
337.5,0.2343
338,0.2532
338.5,0.2655
339,0.271
339.5,0.2785
340,0.2966
340.5,0.2967
341,0.2793
341.5,0.2785
342,0.2912
342.5,0.303
343,0.3086
343.5,0.2925
344,0.2535
344.5,0.2444
345,0.2785
345.5,0.2976
346,0.2913
346.5,0.2975
347,0.3032
347.5,0.2935
348,0.2931
348.5,0.2988
349,0.2886
349.5,0.2972
350,0.3291
350.5,0.3547
351,0.346
351.5,0.3339
352,0.3267
352.5,0.3095
353,0.3298
353.5,0.3635
354,0.3852
354.5,0.3904
355,0.3914
355.5,0.3788
356,0.3563
356.5,0.3349
357,0.2953
357.5,0.2995
358,0.2794
358.5,0.26
359,0.3065
359.5,0.3701
360,0.3924
360.5,0.3717
361,0.3428
361.5,0.3365
362,0.3535
362.5,0.388
363,0.4001
363.5,0.3899
364,0.4047
364.5,0.4018
365,0.4181
365.5,0.4611
366,0.4951
366.5,0.4969
367,0.4887
367.5,0.4804
368,0.4532
368.5,0.4511
369,0.4724
369.5,0.5086
370,0.5167
370.5,0.468
371,0.4763
371.5,0.4959
372,0.4651
372.5,0.4439
373,0.4283
