wavelength_nm,irradiance_W_m2_nm
280,2.705e-28
280.5,1.609e-26
281,9.473e-26
281.5,5.858e-24
282,6.987e-23
282.5,3.608e-22
283,2.059e-21
283.5,4.711e-21
284,2.284e-19
284.5,1.109e-18
285,5.343e-18
285.5,4.581e-17
286,1.764e-16
286.5,1.617e-15
287,7.051e-15
287.5,4.123e-14
288,3.797e-13
288.5,1.331e-12
289,5.665e-12
289.5,2.748e-11
290,1.004e-10
290.5,2.773e-10
291,8.847e-10
291.5,3.691e-09
292,1.147e-08
292.5,2.066e-08
293,4.94e-08
293.5,1.62e-07
294,3.43e-07
294.5,6.031e-07
295,1.29e-06
295.5,3.458e-06
296,6.63e-06
296.5,1.092e-05
297,1.606e-05
297.5,3.455e-05
298,5.88e-05
298.5,7.735e-05
299,0.0001129
299.5,0.0002184
300,0.0002655
300.5,0.0003405
301,0.0005656
301.5,0.0008324
302,0.0009271
302.5,0.001426
303,0.002497
303.5,0.003255
304,0.003468
304.5,0.004483
305,0.006343
305.5,0.007318
306,0.00731
306.5,0.008394
307,0.01127
307.5,0.0146
308,0.01554
308.5,0.01715
309,0.01688
309.5,0.01822
310,0.02154
310.5,0.0278
311,0.03535
311.5,0.03595
312,0.04012
312.5,0.04264
313,0.04634
313.5,0.04655
314,0.05197
314.5,0.05671
315,0.05924
315.5,0.05171
316,0.05398
316.5,0.06568
317,0.07514
317.5,0.08022
318,0.07741
318.5,0.08149
319,0.08961
319.5,0.08654
320,0.09107
320.5,0.1084
321,0.1099
321.5,0.1049
322,0.09891
322.5,0.09703
323,0.09468
323.5,0.1099
324,0.1218
324.5,0.1263
325,0.1257
325.5,0.146
326,0.1706
326.5,0.1815
327,0.1784
327.5,0.1735
328,0.1602
328.5,0.1685
329,0.1904
329.5,0.2113
330,0.2136
330.5,0.1959
331,0.1853
331.5,0.1921
332,0.1996
332.5,0.2008
333,0.1973
333.5,0.1887
334,0.1931
334.5,0.2065
335,0.215
335.5,0.2102
336,0.1932
336.5,0.179
337,0.1761
337.5,0.1894
338,0.2048
338.5,0.2148
339,0.2191
339.5,0.2251
340,0.2393
340.5,0.2394
341,0.2254
341.5,0.2247
342,0.2348
342.5,0.2442
343,0.2485
343.5,0.2354
344,0.2037
344.5,0.1964
345,0.2238
345.5,0.239
346,0.2338
346.5,0.2386
347,0.243
347.5,0.2351
348,0.2347
348.5,0.2392
349,0.2309
349.5,0.2377
350,0.2631
350.5,0.2834
351,0.2763
351.5,0.2665
352,0.2607
352.5,0.2469
353,0.2629
353.5,0.2897
354,0.3069
354.5,0.311
355,0.3116
355.5,0.3015
356,0.2835
356.5,0.2664
357,0.2348
357.5,0.2382
358,0.2221
358.5,0.2067
359,0.2436
359.5,0.2941
360,0.3118
360.5,0.2952
361,0.2721
361.5,0.2669
362,0.2802
362.5,0.3074
363,0.3167
363.5,0.3086
364,0.3201
364.5,0.3177
365,0.3305
365.5,0.3643
366,0.391
366.5,0.3924
367,0.3857
367.5,0.3791
368,0.3575
368.5,0.3557
369,0.3725
369.5,0.4009
370,0.4071
370.5,0.3687
371,0.3751
371.5,0.3905
372,0.3661
372.5,0.3494
373,0.337
373.5,0.3043
374,0.304
374.5,0.3022
375,0.323
375.5,0.3577
376,0.3711
376.5,0.3657
377,0.3929
377.5,0.4391
378,0.4738
378.5,0.4626
379,0.4133
379.5,0.3712
380,0.3907
380.5,0.4192
381,0.4272
381.5,0.3855
382,0.3291
382.5,0.2851
383,0.2559
383.5,0.2481
384,0.2874
384.5,0.3465
385,0.3809
385.5,0.3644
386,0.3521
386.5,0.3666
387,0.3705
387.5,0.3656
388,0.3626
388.5,0.3605
389,0.392
389.5,0.435
390,0.457
390.5,0.4615
391,0.4895
391.5,0.4972
392,0.4583
392.5,0.3825
393,0.2773
393.5,0.2208
394,0.2872
394.5,0.3968
395,0.4692
395.5,0.5005
396,0.4406
396.5,0.3208
397,0.2488
397.5,0.368
398,0.499
398.5,0.5901
399,0.6273
399.5,0.6473
400,0.6551
401,0.6839
402,0.7126
403,0.6877
404,0.7004
405,0.6847
406,0.6692
407,0.6587
408,0.6894
409,0.7379
410,0.6302
411,0.707
412,0.753
413,0.7238
414,0.7174
415,0.7441
416,0.7678
417,0.7504
418,0.7192
419,0.75
420,0.6886
421,0.7836
422,0.7744
423,0.7513
424,0.7486
425,0.7729
426,0.7523
427,0.728
428,0.7364
429,0.683
430,0.5458
431,0.4964
432,0.8271
433,0.7709
434,0.7134
435,0.7838
436,0.861
437,0.88
438,0.7735
439,0.7454
440,0.8558
441,0.8454
442,0.9064
443,0.9214
444,0.8987
445,0.9344
446,0.8391
447,0.955
448,0.9678
449,0.9668
450,1.004
451,1.042
452,0.9991
453,0.9238
454,0.9921
455,0.9863
456,1.02
457,1.03
458,1.009
459,1.003
460,0.9974
461,1.034
462,1.045
463,1.049
464,1.019
465,1.007
466,1.029
467,0.9849
468,1.029
469,1.035
470,0.9962
471,1.014
472,1.068
473,1.028
474,1.041
475,1.077
476,1.042
477,1.05
478,1.085
479,1.064
480,1.082
481,1.083
482,1.087
483,1.075
484,1.056
485,1.053
486,0.8546
487,0.9579
488,1.038
489,0.9783
490,1.094
491,1.052
492,1.004
493,1.075
494,1.05
495,1.116
496,1.062
497,1.081
498,1.052
499,1.053
500,1.05
501,1.019
502,1.02
503,1.069
504,1.002
505,1.07
506,1.115
507,1.069
508,1.042
509,1.092
510,1.065
511,1.085
512,1.114
513,1.048
514,1.027
515,1.057
516,1.068
517,0.871
518,0.997
519,0.9671
520,1.057
521,1.066
522,1.09
523,1.029
524,1.108
525,1.1
526,1.07
527,0.937
528,1.073
529,1.124
530,1.081
531,1.142
532,1.122
533,1.003
534,1.075
535,1.092
536,1.139
537,1.055
538,1.109
539,1.082
540,1.046
541,1.008
542,1.098
543,1.08
544,1.119
545,1.094
546,1.086
547,1.1
548,1.069
549,1.103
550,1.095
551,1.094
552,1.117
553,1.086
554,1.108
555,1.115
556,1.097
557,1.071
558,1.095
559,1.037
560,1.056
561,1.118
562,1.065
563,1.106
564,1.086
565,1.093
566,1.035
567,1.104
568,1.097
569,1.076
570,1.075
571,1.039
572,1.1
573,1.106
574,1.101
575,1.077
576,1.069
577,1.097
578,1.063
579,1.078
580,1.095
581,1.099
582,1.116
583,1.127
584,1.126
