wavelength_nm,irradiance_W_m2_nm
280,4.821e-19
280.5,4.489e-18
281,1.489e-17
281.5,1.749e-16
282,8.23e-16
282.5,2.391e-15
283,6.94e-15
283.5,1.126e-14
284,1.076e-13
284.5,2.631e-13
285,5.912e-13
285.5,2.064e-12
286,5.615e-12
286.5,1.887e-11
287,5.209e-11
287.5,1.667e-10
288,7.28e-10
288.5,1.746e-09
289,4.963e-09
289.5,1.569e-08
290,3.953e-08
290.5,8.378e-08
291,1.95e-07
291.5,5.48e-07
292,1.257e-06
292.5,1.937e-06
293,3.797e-06
293.5,9.777e-06
294,1.416e-05
294.5,2.01e-05
295,3.52e-05
295.5,7.404e-05
296,0.000122
296.5,0.0001747
297,0.0002304
297.5,0.0004279
298,0.0006531
298.5,0.0007973
299,0.001089
299.5,0.001903
300,0.002286
300.5,0.00278
301,0.00397
301.5,0.005179
302,0.005443
302.5,0.007694
303,0.01225
303.5,0.01515
304,0.01572
304.5,0.01911
305,0.0251
305.5,0.02774
306,0.0272
306.5,0.03036
307,0.04318
307.5,0.05135
308,0.05381
308.5,0.05694
309,0.05425
309.5,0.05402
310,0.06156
310.5,0.07793
311,0.09618
311.5,0.09637
312,0.1021
312.5,0.1051
313,0.1121
313.5,0.1135
314,0.1222
314.5,0.1281
315,0.1326
315.5,0.117
316,0.1183
316.5,0.1405
317,0.16
317.5,0.1709
318,0.162
318.5,0.1664
319,0.1807
319.5,0.1761
320,0.1847
320.5,0.2148
321,0.2144
321.5,0.2092
322,0.1933
322.5,0.1884
323,0.1813
323.5,0.2123
324,0.234
324.5,0.2425
325,0.2361
325.5,0.2782
326,0.3209
326.5,0.3389
327,0.332
327.5,0.3218
328,0.298
328.5,0.309
329,0.3467
329.5,0.3832
330,0.3857
330.5,0.3526
331,0.3323
331.5,0.3422
332,0.3538
332.5,0.3547
333,0.3469
333.5,0.3302
334,0.3363
334.5,0.3581
335,0.3928
335.5,0.3741
336,0.3426
336.5,0.3055
337,0.2991
337.5,0.3203
338,0.3661
338.5,0.3696
339,0.3725
339.5,0.3833
340,0.4196
340.5,0.4154
341,0.3779
341.5,0.3704
342,0.3845
342.5,0.3973
343,0.4056
343.5,0.3848
344,0.3431
344.5,0.3226
345,0.3602
345.5,0.3812
346,0.3705
346.5,0.376
347,0.3837
347.5,0.3707
348,0.3663
348.5,0.3709
349,0.3565
349.5,0.3659
350,0.4035
350.5,0.4332
351,0.4221
351.5,0.409
352,0.3967
352.5,0.3731
353,0.3954
353.5,0.4338
354,0.4576
354.5,0.4622
355,0.4621
355.5,0.4456
356,0.4175
356.5,0.3912
357,0.3438
357.5,0.3475
358,0.323
358.5,0.2996
359,0.3523
359.5,0.4247
360,0.4486
360.5,0.4233
361,0.389
361.5,0.3805
362,0.3983
362.5,0.4358
363,0.4478
363.5,0.4351
364,0.4502
364.5,0.4456
365,0.4623
365.5,0.5083
366,0.5442
366.5,0.5447
367,0.534
367.5,0.5234
368,0.4924
368.5,0.4888
369,0.5106
369.5,0.5481
370,0.5553
370.5,0.5016
371,0.5092
371.5,0.5287
372,0.4945
372.5,0.4708
373,0.4531
373.5,0.4082
374,0.4068
374.5,0.4035
375,0.4303
375.5,0.4754
376,0.492
376.5,0.4837
377,0.5187
377.5,0.5783
378,0.6226
378.5,0.6065
379,0.5405
379.5,0.4842
380,0.5085
380.5,0.5443
381,0.5534
381.5,0.4983
382,0.4244
382.5,0.3669
383,0.3286
383.5,0.3179
384,0.3676
384.5,0.4422
385,0.4851
385.5,0.4632
386,0.4467
386.5,0.4642
387,0.468
387.5,0.4609
388,0.4562
388.5,0.4527
389,0.4911
389.5,0.544
390,0.5704
390.5,0.5748
391,0.6086
391.5,0.6168
392,0.5675
392.5,0.4727
393,0.3421
393.5,0.2719
394,0.353
394.5,0.4868
395,0.5746
395.5,0.6117
396,0.5375
396.5,0.3907
397,0.3025
397.5,0.4464
398,0.6042
398.5,0.7132
399,0.757
399.5,0.7798
400,0.7878
401,0.8204
402,0.852
403,0.8195
404,0.8318
405,0.8105
406,0.7897
407,0.7748
408,0.8082
409,0.8624
410,0.7345
411,0.8215
412,0.8725
413,0.8362
414,0.8264
415,0.8547
416,0.8795
417,0.8569
418,0.819
419,0.8516
420,0.7797
421,0.8848
422,0.8719
423,0.8436
424,0.8381
425,0.8631
426,0.8381
427,0.8091
428,0.8164
429,0.7555
430,0.6023
431,0.5463
432,0.9081
433,0.8443
434,0.7793
435,0.8542
436,0.9364
437,0.9553
438,0.8379
439,0.8056
440,0.9229
441,0.9097
442,0.9733
443,0.9871
444,0.9608
445,0.9968
446,0.8934
447,1.015
448,1.026
449,1.023
450,1.06
451,1.098
452,1.051
453,0.9698
454,1.04
455,1.032
456,1.065
457,1.073
458,1.049
459,1.04
460,1.033
461,1.069
462,1.078
463,1.081
464,1.048
465,1.035
466,1.056
467,1.008
468,1.051
469,1.055
470,1.014
471,1.031
472,1.084
473,1.042
474,1.053
475,1.087
476,1.05
477,1.056
478,1.09
479,1.067
480,1.084
481,1.083
482,1.086
483,1.072
484,1.051
485,1.048
486,0.8489
487,0.9501
488,1.028
489,0.9674
490,1.08
