wavelength_nm,transmittance
2039.837,0.949996729395
2044.910634,0.948365879113
2049.98346,0.948210332789
2054.77372,0.946042002233
2059.844971,0.947611569717
2064.915408,0.946711587275
2069.985031,0.947629843725
2074.772257,0.946447577559
2079.840289,0.945482581247
2084.907499,0.946610179296
2089.973887,0.945554460384
2094.758051,0.947734693908
2099.822832,0.948709165484
2104.886784,0.946679959748
2109.949906,0.947991134795
2114.730977,0.946036840972
2119.792477,0.946331797182
2124.85314,0.948815282174
2129.912964,0.948948891244
2134.690915,0.942830790219
2139.749102,0.945513673627
2144.806445,0.947684049104
2149.862941,0.945227023561
2154.637741,0.948448709116
2159.692584,0.948915549916
2164.746575,0.945712963237
2169.799712,0.943205484302
2174.571332,0.945895751649
2179.622801,0.949706986376
2184.673409,0.946445530937
2189.723155,0.950022195164
2194.772037,0.948401618141
2199.539629,0.947769630652
2204.586824,0.947020107187
2209.633149,0.94805853924
2214.678601,0.950415132179
2219.723179,0.946416236167
2224.486698,0.949383270263
2229.52957,0.943308809403
2234.571562,0.944198217282
2239.612672,0.947749659434
2244.652898,0.944058350475
2249.692237,0.946054024351
2254.450798,0.946059974416
2259.488408,0.950148790686
2264.525127,0.947604421459
2269.560952,0.94419472379
2274.595881,0.944147048739
2279.629911,0.947447977676
2284.663042,0.947427111713
2289.415726,0.947321804497
2294.447102,0.946407593002
2299.477571,0.947560553848
2304.507133,0.948429042897
2309.535784,0.946544528067
2314.563524,0.94692406422
2319.590351,0.94810032014
2324.337068,0.947036234308
2329.362112,0.945230678388
2334.386236,0.949162400268
2339.409439,0.946317207833
2344.431718,0.94708283179
2349.453071,0.944255693595
2354.473497,0.947365437827
2359.492994,0.946967137421
2364.511559,0.947533220661
2369.250458,0.947337006975
2374.267206,0.946434162455
2379.283017,0.943813875285
2384.297888,0.947135083223
2389.311818,0.944860529065
2394.324805,0.948736027674
2399.336847,0.945433899468
2404.347942,0.947978655849
2409.358087,0.942854764901
2414.367281,0.946579911159
2419.375522,0.947053145954
2424.382808,0.947696806672
2429.389137,0.944929901822
2434.394506,0.946900082138
2439.398915,0.947584308218
2444.124416,0.946486511449
2449.126951,0.951145016479
2454.128518,0.946613611949
2459.129116,0.947482424505
2464.128744,0.947544619888
2469.127399,0.947062304425
2474.125079,0.944215382176
2479.121782,0.947786813104
2484.117507,0.947178938891
2489.112251,0.947021245315
2494.106012,0.944373093881
2499.098789,0.949330896663
2504.090579,0.948035336019
2509.08138,0.950129039213
2514.071191,0.946130239261
2519.06001,0.948179467185
2524.047834,0.943966218645
2529.034661,0.946225879478
2534.02049,0.94994905046
2539.005319,0.948468286176
2543.989145,0.94764581304
2548.971967,0.946119926089
2553.953782,0.945601771688
2558.93459,0.946622278446
2564.191013,0.947408399477
2569.169741,0.945200324441
2574.147456,0.948086629294
2579.124154,0.944643744073
2584.099834,0.945106640759
2589.074494,0.946522252051
2594.048132,0.945057393844
2599.020745,0.947277168129
2603.992333,0.944266246586
2608.962892,0.948576951451
2613.932422,0.948737935066
2618.90092,0.948738848648
2623.868383,0.946347735365
2628.834811,0.943263328707
2634.076026,0.947142472145
2639.040318,0.948979553031
2644.003569,0.947263225453
2648.965775,0.949492541265
2653.926936,0.945031966109
2658.88705,0.947202770164
2663.846113,0.947107787165
2668.804125,0.941026503361
2673.761084,0.944582295687
2678.992283,0.94564698237
2683.94707,0.945939317384
2688.900797,0.94248713559
2693.853462,0.944149385028
2698.805064,0.941946204626
2703.7556,0.942525520116
2708.705069,0.935869285196
2713.928349,0.939918517626
2718.875617,0.941501673873
2723.821813,0.938004920198
2728.766933,0.936895058304
2733.710976,0.936826827172
2738.653939,0.935544833283
2743.870339,0.937435208252
2748.811078,0.934971014785
2753.750732,0.941139560269
2758.689299,0.941254434547
2763.626776,0.940463561617
2768.837375,0.938847612318
2773.772607,0.933823148675
2778.706745,0.941266243067
2783.639786,0.938474542665
2788.571728,0.939999630934
2793.776472,0.938320842585
2798.706149,0.939075975368
2803.634721,0.9386005606
2808.562186,0.940478549894
2813.762196,0.940105449158
2818.68738,0.941557174493
2823.611451,0.938298307171
2828.534408,0.938797647204
2833.72965,0.940907150077
2838.650309,0.939614321347
2843.569847,0.940673610485
2848.488263,0.939333170717
2853.678704,0.940960312586
2858.594806,0.938419239731
2863.509779,0.93893910072
2868.423622,0.937691374601
2873.609228,0.938251792685
2878.520741,0.937865226831
2883.431118,0.939027732803
2888.613058,0.937441334649
2893.521093,0.937694785353
2898.427986,0.93800734205
2903.606242,0.935277995375
2908.51078,0.937376203396
2913.41417,0.938669416535
2918.588723,0.938331823289
2923.489747,0.937735478072
2928.389616,0.937362852306
2933.560446,0.938666419627
2938.457937,0.939971684289
2943.354268,0.93751242883
2948.521357,0.936541330816
2953.415298,0.93295236441
2958.308072,0.936634848963
2963.4714,0.933809506031
2968.361772,0.935771793939
2973.250972,0.936385051408
2978.41052,0.935330034742
2983.297305,0.934100139576
2988.4543,0.935584920644
2993.338662,0.937391790721
2998.221842,0.934056116755
3003.375026,0.933217455241
3008.255771,0.938722503407
3013.40638,0.933107289808
3018.284682,0.935853320814
3023.161792,0.932421624986
3028.308558,0.933708138711
3033.183212,0.931142761995
3038.327382,0.936662929879
3043.199573,0.935283902074
3048.341138,0.934097441486
3053.210858,0.934560080842
3058.34981,0.93273599048
3063.21705,0.935756608592
3068.35338,0.935706015644
3073.218131,0.934603131985
3078.08167,0.934549481726
3083.214087,0.935672766001
3088.075126,0.933075298487
3093.2049,0.933321713287
3098.06343,0.934380530688
3103.190552,0.938099424032
3108.046567,0.933165834905
3113.171029,0.930665310886
3118.024519,0.935113125836
3123.146312,0.934042027368
3127.99727,0.937535835895
3133.116386,0.935169962139
3138.234123,0.936440093865
3143.081233,0.9366539022
3148.19628,0.932063338388
3153.040837,0.934106668171
3158.153186,0.935009523347
3162.995182,0.932607835067
3168.104824,0.933686500778
3172.944251,0.932545433336
3178.051177,0.934319793424
3183.156704,0.929735949114
3187.992228,0.938856624134
3193.095027,0.937091949983
3197.927962,0.934660481825
3203.028024,0.934062355876
3207.858362,0.936549752337
3212.955677,0.937543032034
3218.05158,0.936525600318
3222.877972,0.933807915811
3227.971116,0.93662655692
3233.06284,0.933736802334
3237.885267,0.93505042856
3242.974219,0.936180586305
3247.794017,0.937171806792
3252.88019,0.937858228879
3257.964931,0.937847550599
3262.780734,0.932874417104
3267.862683,0.937325836604
3272.943194,0.936490569266
3277.754983,0.937467015376
3282.832689,0.938591727963
3287.908951,0.93606671311
3292.716707,0.937613015324
3297.790151,0.93670511262
3302.862144,0.937434316974
3307.932684,0.93437512074
3312.735012,0.934158282572
3317.802717,0.93979616343
3322.868962,0.937397411726
3327.667214,0.936522062405
3332.730611,0.939857718057
3337.792542,0.937588933728
3342.853005,0.937180610692
3347.645771,0.938240064418
3352.703369,0.932182930821
3357.759491,0.936267267248
3362.814137,0.935967917159
3367.601384,0.937308329856
3372.653147,0.936608018818
3377.703426,0.938136999024
3382.75222,0.937095424975
3387.799526,0.934502635351
3392.579809,0.934294151596
3397.624211,0.933727985534
3402.667118,0.932766966765
3407.708529,0.935792926848
3412.74844,0.93440337331
3417.521709,0.935586313402
3422.558695,0.924322278894
3427.594176,0.927600653932
3432.628149,0.931162477124
3437.660612,0.929545179027
3442.691563,0.929680655922
3447.456331,0.928725402531
3452.484331,0.925273029217
3457.510812,0.925752697246
3462.535773,0.924326112469
3467.55921,0.924388801319
3472.581123,0.921290778505
3477.601507,0.918843355993
3482.620362,0.918184447281
3487.637686,0.917163547516
3492.389524,0.920530276836
3497.403858,0.90870916396
3502.416653,0.907384176281
3507.427908,0.906381858715
3512.43762,0.905883774836
3517.445787,0.90827420141
3522.452407,0.900224735227
3527.457477,0.902193248945
3532.460996,0.89539674761
3537.46296,0.89543020164
3542.463369,0.889723683067
3547.46222,0.890451866446
3552.45951,0.888326700499
3557.455238,0.883882050754
3562.449401,0.884623070542
3567.441996,0.881431075984
3572.433023,0.880852513783
3577.422478,0.879565052559
3582.41036,0.877932689609
3587.396666,0.880330049571
3592.381393,0.875146392414
