wavelength_nm,response_relative
280,0.989572820284
280.5,0.98962098063
281,0.989667800349
281.5,0.989713486761
282,0.98975824719
282.5,0.989802288957
283,0.989845819384
283.5,0.989889045791
284,0.989932175502
284.5,0.989975415838
285,0.990018974121
285.5,0.990062608775
286,0.990105971935
286.5,0.99014911149
287,0.990192075328
287.5,0.990234911337
288,0.990277667404
288.5,0.990320391417
289,0.990363131265
289.5,0.990405934836
290,0.990448850017
290.5,0.990491964861
291,0.990535278623
291.5,0.990578705998
292,0.990622161679
292.5,0.990665560363
293,0.990708816742
293.5,0.990751845512
294,0.990794561366
294.5,0.990836878999
295,0.990878713106
295.5,0.990920443446
296,0.990962373513
296.5,0.991004303599
297,0.991046033997
297.5,0.991087365001
298,0.991128096904
298.5,0.991168029999
299,0.991206964579
299.5,0.991244700937
300,0.991281039367
300.5,0.991316151819
301,0.991350383916
301.5,0.991383796463
302,0.991416450264
302.5,0.991448406123
303,0.991479724844
303.5,0.991510467233
304,0.991540694092
304.5,0.991570466227
305,0.991599844441
305.5,0.991628928982
306,0.991657730945
306.5,0.991686177407
307,0.991714195448
307.5,0.991741712145
308,0.991768654576
308.5,0.99179494982
309,0.991820524955
309.5,0.991845307059
310,0.991869223209
310.5,0.991891536802
311,0.991911949604
311.5,0.991931046256
312,0.991949411394
312.5,0.991967629657
313,0.991986285684
313.5,0.992005964112
314,0.99202724958
314.5,0.992050726727
315,0.992076980191
315.5,0.992107069796
316,0.992141301162
316.5,0.99217912762
317,0.9922200025
317.5,0.992263379132
318,0.992308710845
318.5,0.992355450971
319,0.992403052839
319.5,0.99245096978
320,0.992498655124
320.5,0.992550998836
321,0.992611350031
321.5,0.992676850762
322,0.992744643083
322.5,0.992811869047
323,0.992875670707
323.5,0.992933190118
324,0.992981569332
324.5,0.993017950404
325,0.993039475386
325.5,0.993052116927
326,0.993063724727
326.5,0.993074256418
327,0.993083669631
327.5,0.993091921997
328,0.993098971148
328.5,0.993104774713
329,0.993109290326
329.5,0.993112475616
330,0.993114288215
330.5,0.9931152503
331,0.993115956252
331.5,0.993116472006
332,0.993116863498
332.5,0.993117196664
333,0.993117537441
333.5,0.993117951763
334,0.993118505567
334.5,0.993119264789
335,0.993120295364
335.5,0.993132196535
336,0.993163112966
336.5,0.993209428726
337,0.993267527883
337.5,0.993333794506
338,0.993404612665
338.5,0.993476366427
339,0.993545439862
339.5,0.993608217039
340,0.993661082027
340.5,0.993710419557
341,0.99376360523
341.5,0.993818509422
342,0.993873002507
342.5,0.993924954859
343,0.993972236853
343.5,0.994012718863
344,0.994044271264
344.5,0.99406476443
345,0.994072068736
345.5,0.994071667342
346,0.994070577846
346.5,0.994068972273
347,0.994067022648
347.5,0.994064900998
348,0.994062779348
348.5,0.994060829723
349,0.99405922415
349.5,0.994058134654
350,0.994057733261
350.5,0.994061171349
351,0.994070957121
351.5,0.994086297837
352,0.994106400758
352.5,0.994130473145
353,0.994157722258
353.5,0.994187355359
354,0.994218579708
354.5,0.994250602566
355,0.994282631193
355.5,0.99432095246
356,0.994370460239
356.5,0.994428272291
357,0.994491506379
357.5,0.994557280263
358,0.994622711707
358.5,0.994684918471
359,0.994741018318
359.5,0.994788129009
360,0.994823368306
360.5,0.994851703266
361,0.994879619794
361.5,0.994906513927
362,0.994931781702
362.5,0.994954819154
363,0.994975022321
363.5,0.99499178724
364,0.995004509946
364.5,0.995012586476
365,0.995015412867
365.5,0.995015140218
366,0.995014379673
366.5,0.995013217331
367,0.99501173929
367.5,0.995010031652
368,0.995008180514
368.5,0.995006271976
369,0.995004392138
369.5,0.9950026271
370,0.99500106296
370.5,0.994999627969
371,0.994998192979
371.5,0.994996757988
372,0.994995322997
372.5,0.994993888007
373,0.994992453016
373.5,0.994991018025
374,0.994989583035
374.5,0.994988148044
375,0.994986713053
375.5,0.994985278063
376,0.994983843072
376.5,0.994982408081
377,0.994980973091
377.5,0.9949795381
378,0.994978103109
378.5,0.994976668119
379,0.994975233128
379.5,0.994973798137
380,0.994972363147
380.5,0.994970799007
381,0.994969033968
381.5,0.994967154131
382,0.994965245593
382.5,0.994963394455
383,0.994961686816
383.5,0.994960208776
384,0.994959046433
384.5,0.994958285888
385,0.99495801324
385.5,0.994958766418
386,0.994960952629
386.5,0.994964461887
387,0.994969184206
387.5,0.994975009601
388,0.994981828086
388.5,0.994989529676
389,0.994998004385
389.5,0.995007142227
390,0.995016833217
390.5,0.995031156409
391,0.995053286951
391.5,0.995081758995
392,0.995115106696
392.5,0.995151864205
393,0.995190565676
393.5,0.995229745262
394,0.995267937117
394.5,0.995303675394
395,0.995335494245
395.5,0.995364790061
396,0.995393874863
396.5,0.99542265625
397,0.99545104182
397.5,0.995478939171
398,0.995506255902
398.5,0.995532899611
399,0.995558777898
