wavelength_nm,response_relative
280,0.924757005213
280.5,0.924802011115
281,0.924845764199
281.5,0.924888458208
282,0.924930286883
282.5,0.924971443968
283,0.925012123204
283.5,0.925052518335
284,0.925092823102
284.5,0.925133231249
285,0.925173936517
285.5,0.925214713154
286,0.92525523608
286.5,0.925295550047
287,0.925335699806
287.5,0.925375730108
288,0.925415685705
288.5,0.925455611347
289,0.925495551787
289.5,0.925535551776
290,0.925575656066
290.5,0.925615946939
291,0.925656423703
291.5,0.925697006637
292,0.925737616025
292.5,0.925778172147
293,0.925818595286
293.5,0.925858805724
294,0.925898723741
294.5,0.925938269621
295,0.925977363645
295.5,0.926016360699
296,0.926055544397
296.5,0.926094728113
297,0.926133725221
297.5,0.926172349095
298,0.926210413108
298.5,0.926247730633
299,0.926284115046
299.5,0.926319379719
300,0.926353338026
300.5,0.926386150655
301,0.926418140591
301.5,0.926449364657
302,0.926479879674
302.5,0.926509742463
303,0.926539009846
303.5,0.926567738646
304,0.926595985683
304.5,0.926623807779
305,0.926651261756
305.5,0.926678441295
306,0.926705356764
306.5,0.926731940018
307,0.926758122911
307.5,0.926783837298
308,0.926809015033
308.5,0.92683358797
309,0.926857487965
309.5,0.926880646871
310,0.926902996542
310.5,0.926923848622
311,0.926942924411
311.5,0.926960770254
312,0.926977932498
312.5,0.926994957487
313,0.927012391567
313.5,0.927030781082
314,0.927050672379
314.5,0.927072611801
315,0.927097145694
315.5,0.927125264467
316,0.927157253721
316.5,0.927192602592
317,0.927230800217
317.5,0.927271335732
318,0.927313698273
318.5,0.927357376978
319,0.927401860982
319.5,0.927446639421
320,0.927491201433
320.5,0.927540116696
321,0.927596514961
321.5,0.927657725474
322,0.92772107748
322.5,0.927783900225
323,0.927843522955
323.5,0.927897274914
324,0.927942485349
324.5,0.927976483504
325,0.927996598626
325.5,0.928008412161
326,0.928019259665
326.5,0.928029101543
327,0.928037898202
327.5,0.928045610048
328,0.928052197488
328.5,0.928057620927
329,0.928061840772
329.5,0.92806481743
330,0.928066511306
330.5,0.928067410376
331,0.928068070088
331.5,0.928068552061
332,0.928068917911
332.5,0.928069229255
333,0.928069547711
333.5,0.928069934896
334,0.928070452427
334.5,0.92807116192
335,0.928072124994
335.5,0.928083246653
336,0.928112138095
336.5,0.928155420229
337,0.928209713962
337.5,0.928271640202
338,0.928337819857
338.5,0.928404873836
339,0.928469423045
339.5,0.928528088394
340,0.928577490789
340.5,0.92862359677
341,0.928673298847
341.5,0.928724606881
342,0.928775530736
342.5,0.928824080272
343,0.928868265353
343.5,0.928906095841
344,0.928935581598
344.5,0.928954732486
345,0.928961558368
345.5,0.928961183266
346,0.92896016513
346.5,0.92895866472
347,0.928956842794
347.5,0.928954860109
348,0.928952877424
348.5,0.928951055498
349,0.928949555088
349.5,0.928948536952
350,0.92894816185
350.5,0.928951374747
351,0.928960519563
351.5,0.928974855481
352,0.928993641685
352.5,0.92901613736
353,0.92904160169
353.5,0.929069293858
354,0.92909847305
354.5,0.92912839845
355,0.929158329241
355.5,0.929194140512
356,0.929240405591
356.5,0.929294431025
357,0.929353523356
357.5,0.929414989132
358,0.929476134895
358.5,0.929534267192
359,0.929586692567
359.5,0.929630717565
360,0.929663648731
360.5,0.929690127786
361,0.929716215815
361.5,0.929741348416
362,0.929764961182
362.5,0.929786489709
363,0.929805369594
363.5,0.92982103643
364,0.929832925814
364.5,0.929840473342
365,0.929843114607
365.5,0.929842859817
366,0.929842149087
366.5,0.929841062876
367,0.929839681646
367.5,0.929838085855
368,0.929836355965
368.5,0.929834572434
369,0.929832815723
369.5,0.929831166293
370,0.929829704602
370.5,0.929828363601
